original,abbreviation,count
electrical,elec,18
instructional,instructi,6
individualistic,indvlstc,1
copernicus,Copnicus,1
celestial,Celestl,1
sparrows,sprow,1
avuncular,avclr,1
cavities,cavit's,1
dealerships,dlrship,1
circumstance,circ,8
happiest,hpst,1
constellations,constellat,3
academically,academ,1
discharge,Dischrg,1
decentralized,dectrlzd.,1
wellesley,wellsly,1
expiration,xprtn,1
partnerships,partnshps,1
stratosphere,stratos,11
principals,prin,1
comprehension,cmprhns,1
sledding,sled,1
renewable,rene,1
nineteenth,Nintnth,1
visualization,viz,1
antiterrorism,ntitrorsm,1
windshield,wndshild,2
enrollment,enrlmnt,1
oftentimes,oftntms,1
skinheads,skhe,1
appalachians,applchns,1
kindergarten,kndergrtn,1
scheduled,shedld,1
instrumentation,1strenrn,1
combustion,combust,1
numerals,numr,1
connects,cncts,1
undertaking,udrtkg,1
unmediated,umed,1
adventurers,advntu,1
assignments,asnmnts,1
punctuate,Pntuate,1
disarray,dsray,1
vaccinate,vacnte,1
physicality,phys,1
freaking,freak,1
atmospheric,atmospher,1
electrical,ele,1
educates,educs.,1
anachronism,Anachrsm,1
complement,cmplmt,1
husbandry,hsbndry,1
wheatley,whtly,1
maintenance,mntnc,1
sleepiness,slpnss,1
enrollments,enrollments,2
reprisal,rpsl,1
instructional,instruonal,1
richland,rchland,1
breeches,brch,1
decidedly,decd,1
manipulation,mnpulation,1
unnecessarily,Unnesrly,1
refurbished,rfbsh,1
university,univ.,1
incandescent,Incadecent,1
bountiful,bntfl,1
assignments,assign,6
geographically,geogrphcly,1
theological,theolog,3
rocketing,rocktng,1
individualistic,individualistic,1
horribly,hrbly,1
unleashing,unlshng,1
extraordinaire,xtrdnr,1
undertaking,ndrtkng,1
colonization,clnztn,1
contours,Contr,1
encryption,ncrypt,1
justifies,justfies,1
necessities,abrv,1
decentralized,decentralized,1
crosshairs,crosh,1
constellations,consteltns,1
unearthly,nrthly,1
skyrocket,skyrokt,1
investment,invest.,1
educationally,educlly,1
evocative,ecoctve,1
tolerances,tlrncs,1
industrial,ind,6
manipulation,manipul,7
planters,plntrs,1
principals,prpls,8
democratization,demzation,3
automotive,automot,1
confectioners,cnfctnrs,1
doomsday,doomsd,1
parliamentary,prlamntry,1
observant,obs'vnt,1
fingernail,fngrnl,1
dictatorship,dictatshp,1
migrating,migrat.,1
promising,proms,1
phillips,phllps,1
convenient,Convnt,1
galleria,gllra,1
communicator,com,4
spherical,sercl,1
jurisprudence,jrsprdence,1
refinancing,refinanc'g,1
mccartney,mcartny,1
appraisals,apprsls,1
instructional,instr,1
enrollment,enrollm,5
trustworthy,trstwrty,2
threshold,thrh,1
individualistic,individual,1
distinguishing,distinguishng,1
professors,profess,5
discrepancies,dscrpacies,1
may/june,may/june,1
manufacture,manuf.,1
liberated,lbrtd,1
starship,strshp,1
multifaceted,multi,1
clowning,clownng,1
flattening,dtng,1
electrode,lctrd,1
kindergarten,kndgtn,1
undersea,underc,1
populism,popul'sm,1
unopened,unopnd,1
honorees,honre,1
miserable,Misrble,1
parlayed,parlyed,1
attributable,atrbtble,1
decadence,dcdnc,1
workshops,wksps,1
cambodia,cmbd,1
initially,inin,1
welcomes,wel,1
inflationary,inflati,1
inflationary,inflate,1
manufacture,manuf,1
atmospheric,atmosph,2
effluent,efluent,1
primarily,prmi,1
messenger,msgr,1
dictionaries,dctnres,1
manufacturing,mnfctring,1
gardeners,grdnrs,1
stereotype,strtyp,1
imperceptible,Imprcptble,1
socialization,socztion,1
hereafter,hereaftr,1
watchdogs,watchK9's,1
manufacturing,mftg,4
interdependent,interdep,2
fulfilling,Fulfilng,1
pestering,Pstring,1
supersonic,sprsonc,1
undertaking,untak,1
geopolitical,geopoly,1
lunatics,lunatcs,1
masturbation,mastbat,1
lieutenants,ltnts,1
inflationary,infltny,1
hardships,hrdshps,1
specifying,spcfyng,1
windshield,w'shield,1
postmortem,postmtm,1
overcook,ovrcook,1
congresswoman,congresswoman,1
comprehension,compreh,7
jurisprudence,jrsprdn,4
undergraduate,undrgt,1
suggesting,sggsting,1
inflationary,inflat,2
researcher,res'cher,1
undergraduate,undgrad,1
graduation,grdtn,1
mcnamara,mcnma,1
consummation,cons,1
viciously,vishsly,1
parliamentary,parltary,2
dressing,drsng,1
enrollment,enrllmnt,3
southwest,sw,1
overtime,OT,1
enrollments,enrolmts,7
credentialed,crdtld,1
beginner,Bgginer,1
graduation,gradn,1
colonization,colonization,1
pleasure,plsure,1
tantalizingly,tntlzngly,1
indecent,Indicnt,1
lumbered,lmbrd,1
undertaking,undrtaking,3
accelerating,acceler,4
excellency,exclncy,1
disintegration,dsntgrt,3
transmissions,tsmsns,1
satisfactorily,satify,1
colonization,colnzation,3
hurricanes,hrcns,1
investment,invstmn,5
succession,succsn,1
investment,invstmt,3
divisions,dvzns,1
modernist,mdnst,1
justifying,jstfyng,1
telescopes,tlscp,1
powdered,pwdrd,1
legalistic,lgl,1
assignments,assignm,4
profited,profitd,1
redirected,rdrtcd,1
university,univst,2
communicator,comcator,1
subatomic,sbtmc,1
trustworthy,trstwrt,5
disintegration,disinte,10
undergraduate,ugrad.,1
industrialized,indstrialized,1
stoplights,stplghts,1
reticence,retic'ce,1
accelerating,accelerating,2
comprehension,cphs,2
conferring,confab,1
huckleberry,hcklbrry,1
throwing,thrwg,1
jurisprudence,jurprud,1
principals,prncpls,9
freshman,frshmn,1
unconscionable,unconsnbl,1
manipulating,manip,1
inaccuracies,nacurcy,1
theological,thelgcl,7
sandalwood,sandwood,1
opposition,oppstn,2
assignments,asigmnts,1
bicycles,byckol,1
microorganisms,microor,3
disintegration,dsntgrtn,1
ambiguous,ambig,1
esperanza,Espranzr,1
diminish,dmnsh,1
windmills,wndmills,1
emporium,emprm,1
unplanned,unplnd,1
congresswoman,congres,4
coaching,cochng,1
parliamentary,parl,1
adventurers,advers,2
experiments,exp,2
protrude,protrud,1
counterparts,countp,1
extracurricular,extcur,1
explorations,expls,1
comprehensive,compreh,3
industrial,indstl,1
inconsequential,incnql,1
emphasize,emphas'ze,1
extraterrestrial,extrater,1
responders,rspnders,1
consciences,Cnsnces,1
geopolitical,geopol,6
modernize,mdrnz,1
manufacturing,mnfctrn,6
undertaking,undtak,1
horseshoes,hrsshs,1
industrialized,ind'ized,1
postponing,pstpning,1
unprotected,unprtctd,1
manufacturing,mfg,2
heroically,hrclly,1
pensacola,pnscla,1
socialite,social,1
imperial,imprl,1
efficiently,eff,1
ballooning,balloonng,1
combustion,cbn,1
mystique,mystque,1
playmates,plymt,1
youngstown,yungstwn,1
nightgown,Ngthgn,1
instrumentation,instrumentation,2
uncommitted,uncom,1
rearranged,rearrngd,1
righting,rtng,1
unifying,Unifyng,1
bluebird,blbd,1
constitution,consttn,1
mechanically,mech.,2
vastness,vstness,1
circumstance,crcstance,2
academically,acadally,1
magnesium,magknesum,1
multifaceted,multifa,6
socialization,socialztn,3
observatory,obstory,6
essentials,esstls,1
dramatize,drmatz,1
locations,locatns,1
financing,fnc,1
transmissions,transmisses,3
gentlemanly,gntmnly,1
dissemination,disemntn,1
operandi,oprndi,1
spokespeople,Spokspple,1
partisan,biased,1
mechanically,mechy,3
enrollment,enrlmt,2
combustion,cmbstn,2
workbench,wbnch,1
prodigal,prdgl,1
capabilities,cpblts,1
apotheosis,apoth.,1
diaspora,dspr,1
enrollment,enrol,1
industrialized,industry,1
meteorological,met,3
industrialized,industri,4
internationally,intnatnal,1
compressed,cmprsd,1
collaborative,collab,1
interrogators,intrgtrs,1
declined,dclnd,1
assignments,asmts,2
fairness,fairnss,1
congresswoman,cngrssw,8
adventurers,advnturers,2
lawmaking,lmak,1
bacterium,bact'm,1
napoleonic,nplc,1
parliamentary,palmnts,1
knoxville,knxvll,1
geothermal,Gethmal,1
undergraduates,undrgraduats,4
summarily,sumly,1
manipulation,manpltn,2
cracking,crkng,1
intermission,ntrmssn,1
pedestrians,ped,1
streetcars,Stcrs,1
academically,acadmly,1
douglass,dglas,1
dignitaries,dgntr,1
polypropylene,plyplen,1
serviceman,srvicemn,1
democratization,democrtztn,1
undermined,und,1
yorkshire,Yokshre,1
assignments,assments,1
crucifixion,crucifxn,1
selectively,selectvly,1
atmospheric,atmos,2
nutritionists,ntrnst,1
separatist,sep'tist,1
endocrinologist,endrocrinolgy,1
indecipherable,indcphbl,1
windshield,winshld,1
skepticism,skptcm,1
underrated,undrated,1
combustion,combstn,5
marlboro,mrlbro,1
regulating,reg,1
instrumentation,instr,2
dictatorship,dcttrsh,8
manufacturing,mf,1
gubernatorial,gubrntial,1
individualistic,individ,6
unequaled,ueqld,1
undisturbed,undstrbd,1
instructional,instrct,1
climbing,clmbing,1
incinerated,incinratd,1
unleaded,unl,1
subcontractor,subcntrctr,1
constellations,constlations,3
electrical,elecl,5
apologies,plgys,1
profanity,pfnty,1
atmospheric,atm.,1
sleepwalking,slpwlkng,1
dramatically,drmtclly,1
saxophone,sax,1
manipulation,mnpltn.,1
strikeout,strike,1
totality,totlty,1
explorations,xplortns,3
comprehensive,comp,14
positing,posit,1
referred,rfrd,1
socialization,socializ,1
warheads,wrhds,1
restroom,wstrom,1
cluttered,Clutrd,1
transmissions,transmsns,1
refreshing,rfrshng,1
internationally,intrntn,6
academically,acdmlly,1
drunkard,drunkd,1
multifaceted,mltfctd,9
indictments,Indcmts,1
chauncey,choh,1
regularly,Regulrly,1
university,univ,4
geopolitical,gepltcl,2
shortens,shrtn,1
july/august,jul/aug,1
encouraged,encgd,1
masterpieces,Mstrpies,1
brazenly,brazly,1
expanding,xpandng,1
forgiving,frgvng,1
uninvolved,uninvlvd,1
microorganisms,micrognsms,1
cringing,crng,1
floundering,flud,1
observatory,obsrvtr,7
winemaker,wnmkr,1
prayerful,pryrfl,1
dramatized,drmatzd,1
calculus,calc,1
distinctly,dstctly,1
heavenly,hvnly,1
consensus,consen.,1
discontinued,dscntd,1
acceleration,acclrtn,1
decentralized,dcentzd,1
socialization,soclztn,2
motorcycle,mtrc,1
extracurricular,extracrcula,1
meteorological,meteorolog,1
locomotive,loco,14
normalized,nrmlzd,1
reactors,Rctors,1
circumstance,circmstnc,1
pamphlet,pmplt,1
opposition,ppstn,1
satellites,satllts,4
precarious,prcrs,1
processed,pross,1
internationally,interntly,1
dominance,dmnce,1
dartmouth,drtmth,1
palpable,plpble,1
enrollment,'rolment,3
repelling,rpllng,1
inducted,indctd,1
rewriting,rewrtng,1
communicator,cmmnctr,5
satellites,sat,2
priesthood,prsth'd,1
reconcile,rcncl,1
automotive,autom,1
emaciated,emactd,1
favorites,fvrites,1
explorations,explora,7
spectrum,spctrm,1
congresswoman,congrsswomn,4
communicator,cmmtr,1
intransigent,intrnsig,1
microorganisms,microorg,1
graduation,gradutn,5
persuasively,prsuasvly,1
streetwise,strtws,1
diversity,divrsty,1
monochrome,mnchrm,1
constitution,constitution,2
democratization,democ,5
communicator,communi,3
lufthansa,lufth,1
catalysts,catlysts,1
therapist,thrpst,1
keystone,kystn,1
vagueness,vaguenss,1
referent,refrnt,1
combustion,combustion,1
benefitted,benftd,1
horsepower,hp,17
sunblock,sblck,1
telescopes,tscopes,4
colonization,clnzn,2
constellations,constelatns,1
carpenter,crpntr,1
directors,dctrs,1
caressed,cares,1
frontline,frntlne,1
circling,Cirlng,1
pragmatism,prgmtsm,1
preprogrammed,preprgmd,1
vertebrae,vertbrae,1
atmospheric,atmpheric,3
wheelbarrow,barrow,1
humanize,humnze,1
satellites,sats,1
anathema,anathema,1
undermining,undrmning,1
interstellar,intrstlr,2
satellites,sate,2
congresswoman,cgrswm,1
reconstructions,reconstrcions,1
dealerships,dlrships,4
kirkpatrick,kirpatrik,1
painstaking,painstkng,1
colonization,colnztn,1
innocuous,inocus,1
manufacturing,build,5
specification,specs,1
midlevel,mdlvl,1
satellites,stlts,8
portland,port,1
schoolchildren,schlchld,2
mainstays,m'nstays,1
mechanical,mech,12
roadblock,rdblck,1
pardoned,pard,1
adventurers,venturer,1
disintegration,disint,8
acceleration,acclrtion,1
enforces,enfs,1
constricted,cnstrictd,1
earnestness,earnestn's,1
nothingness,nthns,1
coordinating,codtg,1
hypothesize,hyptsz,1
compartment,comp.,1
constellations,cnstlns,1
federated,fdrtd,1
pedestrians,pdstrns,5
transmissions,transons,1
counseled,Counsld,1
rigidity,rgdty,1
observatory,obsrvatry,1
compartment,compartm,2
disintegration,disinteg,2
transfusions,trfsns,1
machiavelli,machaveli,1
apertures,aprtrs,1
revisionism,rvsnsm,1
compartment,compt,4
devoutly,dvtly,1
customization,cstmiztn,1
educationally,edctnll,5
recurrent,recur't,1
daydreaming,daydream,1
combustion,cmb,1
comprehension,compre,1
secretive,secrtv,1
compartment,comp,4
multifaceted,multifcted,2
undergraduate,undergrad,8
released,rel.,1
subtraction,subtn,1
anatomic,antmic,1
biography,bio,1
laboratory,labrtory,1
individualistic,indivd,1
combined,cmbnd,1
barrymore,barmo,1
marshall,Mrshl,1
electrical,elctrcl,1
assertive,asrtv,1
signpost,SNPOST,1
deflected,dflctd,1
windward,wndwd,1
constellations,constels,1
installs,instlls,1
compartment,cmprtmn,3
wrongfully,wrong,1
extracurricular,extrcuricla,1
essayist,easyst,1
reinhardt,rinhrdt,1
averting,avrting,1
bridgeport,brdgport,1
dictatorship,dship,2
refuting,refutin,1
lieberman,libman,1
culinary,cul,1
combustion,cmbustn,1
academically,acad,8
forerunner,4rnnr,1
corporeal,crpreal,1
forensics,fornscs,1
unforgiving,unfgvg,1
nuisance,nusnce,1
preening,Prengn,1
communicator,comm,4
molecular,mlcr,1
accelerating,accelerate,1
unheeded,Unhded,1
intimations,Intmatns,1
parliamentary,p'mentary,1
forebears,fb,1
expeditions,expedit,9
collisions,collisns,1
undertaking,underta,3
stratosphere,strtsph,1
industrialized,industrial,3
manipulation,mnipltn,1
misshapen,mishapn,1
decentralized,decentlzd,2
witnessing,WTNing,1
ceaseless,cesls,1
opposition,opp,9
electrodes,elect'des,1
acceleration,acceler,2
developer,Devlpr,1
occupancy,occup,1
switzerland,swiss,1
transportation,transp,8
collisions,collsns,7
hemoglobin,hemoglob,1
sneering,snrg,1
candidly,Candly,1
excerpted,xcrptd,1
qualifiers,qf,1
dismayed,dsmyd,1
expatriate,expatr8,1
schoolchildren,schooch,3
daimlerchrysler,dmlrchryslr,1
transmissions,trnmssons,1
enrollments,enrolmnts,2
womanizing,wmzg,1
extracurricular,extracu,5
telescopes,tlscpes,4
variables,vari,1
kindergarten,kinderg,7
dealerships,dlrshps,11
manufacture,mfr,1
obsolescence,bslscnc,1
opposites,opsits,1
constitution,cnstn,1
manufacture,mfg,1
schoolchildren,schch,5
voyeuristic,voyristic,1
socialization,socialztion,2
everyman,vrymn,1
budweiser,bud,1
decentralized,dcentralzd,1
reproduced,rprdcd,1
industrialized,industr,1
jurisprudence,jurisurence,2
investment,invment,1
utterance,uttrance,1
undergraduates,undergrad,6
constellations,cnstlat,5
heretical,Htical,1
farewells,frwls,1
indefensible,indfensble,1
graduation,graduat,1
blissfully,blisflly,1
schoolchildren,sc ch,1
authentic,auth.,1
unchanging,unchngng,1
ecologists,eclgsts,1
interdependent,interdpndnt,1
academically,acadmcly,1
internationalization,ntrntnlztn,1
englishmen,englshmen,1
autoimmune,atmmn,1
perilously,Perilosly,1
thinness,thnnss,1
individualistic,indvdstc,1
incremental,incrmntal,1
divisiveness,dvsvnss,1
manufacturing,manufac,2
instrumentation,instrumental,2
congresswoman,congrsswman,1
manufacturing,m'facturing,1
meteorological,meteoro,1
snorting,snrtng,1
wolfgang,wlfgng,1
complaints,compl,1
profoundly,prfdly,1
satellites,stls,1
intoxicating,ntxctng,1
graduation,gard,3
stratosphere,strato,5
vaccinations,vaccintons,1
perpetually,perptly,1
incorrectly,ncrrctly,1
incendiary,inced,1
interstellar,interstel,1
calloused,callsed,1
interfering,Intferin,1
splashes,Splshes,1
sexiness,sxns,1
accelerating,accelerat,5
monitoring,mntring,1
educationally,edually,1
transportation,transpttn,1
learning,lrng,1
atonement,atonemnt,1
trafficked,tfkd,1
vignette,vign,1
assignments,assignments,2
generalizable,gnralzbl,1
interrogating,intgtg,1
transmissions,trans,4
exhibitor,Xibitor,1
assignments,assing,1
democratization,democrtztion,1
measurements,mmts,2
trustworthy,trstwrthy,3
paradoxes,parado,1
intending,ntndg,1
handlebar,hndlbr,1
instrumentation,instation,1
sheppard,sheps,1
reimbursement,rimbrsmnt,1
differences,dffrences,1
hierarchical,hiaracl,1
deciphered,Deciferd,1
sunflowers,snfws,1
ligaments,lgmts,1
negligent,nglgnt,1
hysterectomy,Hysttomy,1
turbines,t'bines,1
reflected,Reflted,1
converters,cnvrtrs,1
rehabilitative,rehab've,1
hydrocarbons,hydrocrbns,1
circumstance,circmstnce,1
acceleration,acc,9
yesterday,y'day,1
shipment,shpmnt,1
chechnya,chekna,1
erickson,rksn,1
breached,brchd,1
objections,objet,1
dealerships,dships,1
interdependent,intdent,1
shuttered,shtrd,1
unmitigated,nmtgtd,1
unmarried,unm,1
inflationary,infltnr,6
littlest,Lillest,1
atmospheric,atmsprc,1
educationally,erssa,1
pantsuit,pntst,1
excursions,xcrsns,1
pedestrians,peds,14
ericsson,ercsn,1
aqueduct,aquadct,1
communicator,comun,1
enrollments,enroll's,1
interstellar,intslr,1
shoelaces,shola,1
interdependent,intrdpn,10
julianne,juliane,1
