original,abbreviation,accuracy,count
compartment,comp.,FALSE,1
compartment,compart,correct,16
compartment,compart,incorrect,1
compartment,compartm,correct,1
compartment,compartm,incorrect,1
compartment,compartment,correct,1
compartment,comprtmnt,correct,1
compartment,compt,correct,1
compartment,compt,FALSE,3
compartment,comptmnt,correct,1
comprehension,cmprhns,correct,1
comprehension,comp,FALSE,19
comprehension,comp,semantic,1
comprehension,comp'n,FALSE,1
comprehension,comp.,FALSE,1
comprehension,compre,semantic,1
comprehension,compreh,correct,2
comprehension,compreh,semantic,8
comprehension,cphs,incorrect,2
comprehensive,comp,correct,1
comprehensive,comp,FALSE,30
comprehensive,compreh,semantic,3
comprehensive,wide,mislead,2
congresswoman,cgrswm,correct,1
congresswoman,cngrssw,correct,9
congresswoman,cngrssw,semantic,4
congresswoman,cngswom,correct,1
congresswoman,congres,incorrect,1
congresswoman,congres,semantic,3
congresswoman,congressw,correct,2
congresswoman,congresswoman,correct,1
congresswoman,congrss,semantic,1
congresswoman,congrsswman,correct,2
congresswoman,congrsswomn,correct,4
congresswoman,congrsswomn,semantic,1
congresswoman,congwoman,correct,2
constellations,cnstlat,incorrect,2
constellations,cnstlat,plural,2
constellations,cnstlat,synonym,1
constellations,cnstlat,typo,1
constellations,cnstlatn,plural,1
constellations,cnstlls,correct,1
constellations,cnstlns,correct,1
constellations,const,FALSE,2
constellations,constel,plural,14
constellations,constelatns,correct,1
constellations,constellat,plural,4
constellations,constels,plural,2
constellations,consteltns,correct,1
constellations,constlations,correct,3
constellations,constlations,typo,1
constitution,cnstn,FALSE,1
constitution,cnstution,correct,1
constitution,const,correct,2
constitution,const,FALSE,11
constitution,const,incorrect,1
constitution,constit,correct,15
constitution,constit,incorrect,1
constitution,constit,semantic,3
constitution,constitution,correct,2
constitution,consttn,correct,1
constitution,contution,correct,2
dealerships,dealrshps,correct,4
dealerships,dlrship,plural,1
dealerships,dlrships,correct,3
dealerships,dlrships,incorrect,2
dealerships,dlrshps,correct,15
dealerships,dlrshps,incorrect,6
dealerships,dlrshps,plural,1
dealerships,dships,correct,1
decentralized,dcentralzd,correct,1
decentralized,dcentzd,incorrect,1
decentralized,dcntrlz,correct,1
decentralized,dcntrlz,incorrect,1
decentralized,dcntrlz,semantic,6
decentralized,decenlized,correct,3
decentralized,decenlized,incorrect,1
decentralized,decentlzd,correct,1
decentralized,decentlzd,semantic,1
decentralized,decentr,correct,1
decentralized,decentr,FALSE,1
decentralized,decentr,incorrect,1
decentralized,decentr,semantic,2
decentralized,decentr,typo,1
decentralized,decentra,semantic,1
decentralized,decentralized,correct,1
decentralized,decntrlized,typo,1
decentralized,decntrlzd,correct,1
decentralized,dectlzd,correct,2
decentralized,dectrlzd.,correct,1
democratization,dem,incorrect,1
democratization,democ,semantic,9
democratization,democra,semantic,17
democratization,democracy,semantic,1
democratization,democratiz,semantic,1
democratization,democrtztion,correct,1
democratization,democrtztn,correct,1
democratization,demzation,correct,1
democratization,demzation,incorrect,2
democratization,dmcrtzt,correct,1
democratization,dmcrtzt,FALSE,1
democratization,dmcrtzt,incorrect,1
democratization,dmcrtzt,semantic,3
dictatorship,dcttrsh,correct,4
dictatorship,dcttrsh,FALSE,1
dictatorship,dcttrsh,incorrect,3
dictatorship,dicship,correct,1
dictatorship,dict'ship,correct,1
dictatorship,dictato,correct,1
dictatorship,dictato,semantic,4
dictatorship,dictatshp,correct,1
dictatorship,dicttrship,correct,2
dictatorship,dship,FALSE,2
dictatorship,tyranni,FALSE,1
disintegration,disint,correct,1
disintegration,disint,FALSE,2
disintegration,disint,incorrect,2
disintegration,disint,semantic,3
disintegration,disinte,correct,2
disintegration,disinte,FALSE,6
disintegration,disinte,incorrect,1
disintegration,disinte,semantic,5
disintegration,disinteg,correct,2
disintegration,distg,FALSE,2
disintegration,dsntgrt,correct,2
disintegration,dsntgrt,FALSE,1
disintegration,dsntgrt,semantic,1
disintegration,dsntgrtn,typo,1
educationally,edctnll,correct,3
educationally,edctnll,semantic,2
educationally,edctnlly,correct,2
educationally,edu,semantic,15
educationally,edually,correct,1
educationally,educ'ally,correct,1
educationally,educati,semantic,11
educationally,educlly,correct,1
educationally,erssa,incorrect,1
electrical,elctrcl,incorrect,1
electrical,ele,FALSE,1
electrical,elec,correct,6
electrical,elec,FALSE,6
electrical,elec,semantic,22
electrical,elecl,correct,3
electrical,elecl,semantic,2
electrical,electri,incorrect,1
electrical,electri,semantic,1
enrollment,enrllmn,correct,17
enrollment,enrllmnt,correct,5
enrollment,enrlmnt,typo,1
enrollment,enrlmt,correct,2
enrollment,enrol,semantic,2
enrollment,enrollm,correct,4
enrollment,enrollm,plural,1
enrollment,enrollm,typo,1
enrollment,enrollmnt,correct,4
enrollment,rolment,correct,2
enrollment,rolment,typo,1
enrollments,enrllmn,plural,3
enrollments,enrllmnts,correct,4
enrollments,enrlmnts,correct,7
enrollments,enrlmnts,FALSE,1
enrollments,enrlmnts,incorrect,1
enrollments,enrlmnts,typo,1
enrollments,enrlmts,correct,1
enrollments,enrlts,correct,1
enrollments,enroll,plural,1
enrollments,enroll's,correct,1
enrollments,enrollments,correct,1
enrollments,enrollments,mislead,1
enrollments,enrolmnts,correct,3
enrollments,enrolmts,correct,10
enrollments,enrolmts,plural,1
enrollments,enrolmts,typo,2
enrollments,nrlmnts,incorrect,1
expeditions,expdtns,correct,4
expeditions,expdtns,typo,1
expeditions,exped,FALSE,2
expeditions,exped,incorrect,1
expeditions,exped,plural,2
expeditions,exped,semantic,4
expeditions,expedit,FALSE,1
expeditions,expedit,plural,4
expeditions,expedit,semantic,7
expeditions,expedit,typo,1
expeditions,expedns,FALSE,1
expeditions,expeds,correct,1
expeditions,trip,FALSE,1
expeditions,xped,FALSE,2
expeditions,xped,plural,2
expeditions,xped,semantic,1
experiments,exmts,correct,2
experiments,exp,plural,1
experiments,exp,semantic,1
experiments,exper,FALSE,5
experiments,exper,plural,1
experiments,exper,semantic,6
experiments,experim,plural,4
experiments,experim,typo,1
experiments,expmts,correct,2
experiments,expnts,FALSE,1
experiments,exprmnt,plural,7
experiments,expts,FALSE,1
experiments,xperimnts,correct,2
experiments,xpmts,correct,3
experiments,xpmts,plural,1
exploration,expl.,correct,1
exploration,expl.,semantic,2
exploration,explor,semantic,1
exploration,explora,correct,3
exploration,explora,incorrect,1
exploration,explora,semantic,1
exploration,exploration,correct,1
exploration,explr,semantic,4
exploration,explrtn,correct,19
exploration,explrtn,incorrect,2
exploration,xplortn,correct,3
exploration,xplration,correct,2
exploration,xplrtn,correct,3
explorations,expl,FALSE,2
explorations,explor,incorrect,1
explorations,explor,semantic,1
explorations,explora,incorrect,1
explorations,explora,plural,16
explorations,explora,semantic,2
explorations,explorat,plural,7
explorations,explorat,semantic,1
explorations,explrtn,plural,4
explorations,expls,semantic,1
explorations,xplortns,correct,3
explorations,xplortns,plural,1
explorations,xplrations,correct,2
extracurricular,excurr,incorrect,1
extracurricular,extcur,correct,1
extracurricular,extracrcula,correct,1
extracurricular,extracu,correct,3
extracurricular,extracu,incorrect,1
extracurricular,extracu,typo,1
extracurricular,extracurr',correct,1
extracurricular,extrcrr,correct,8
extracurricular,extrcrr,incorrect,3
extracurricular,extrcrr,typo,1
extracurricular,extrcuricla,typo,1
extracurricular,xcurriclr,typo,1
extracurricular,xtraclar,FALSE,1
extracurricular,xtracular,correct,5
extracurricular,xtracular,incorrect,1
extracurricular,xtracular,typo,1
extracurricular,xtracurclr,correct,2
extracurricular,xtrcriclr,correct,1
extracurricular,xtrcrriculr,correct,6
extraterrestrial,et,correct,7
extraterrestrial,et,FALSE,10
extraterrestrial,et,incorrect,5
extraterrestrial,et,typo,5
extraterrestrial,extrate,correct,1
extraterrestrial,extrater,incorrect,1
extraterrestrial,extrtrr,correct,2
extraterrestrial,extrtrr,incorrect,1
extraterrestrial,extrtrr,typo,1
geopolitical,geopo,correct,1
geopolitical,geopo,FALSE,1
geopolitical,geopol,correct,1
geopolitical,geopol,FALSE,1
geopolitical,geopol,incorrect,1
geopolitical,geopol,semantic,6
geopolitical,geopol.,semantic,1
geopolitical,geopoli,correct,9
geopolitical,geopoli,FALSE,1
geopolitical,geopoli,incorrect,1
geopolitical,geopoli,semantic,6
geopolitical,geopolit,semantic,1
geopolitical,geopoly,semantic,1
geopolitical,gepltcl,correct,2
geopolitical,gplticl,correct,1
graduation,gard,FALSE,2
graduation,gard,mislead,5
graduation,grad,semantic,7
graduation,gradn,correct,1
graduation,gradtn,correct,3
graduation,gradtn,incorrect,2
graduation,graduat,correct,1
graduation,gradutn,correct,19
graduation,gradutn,plural,1
graduation,grdtn,incorrect,1
horsepower,horsepo,incorrect,1
horsepower,horspwr,correct,1
horsepower,hp,correct,10
horsepower,hp,FALSE,14
horsepower,hp,incorrect,1
horsepower,hp,typo,1
horsepower,hrsepwr,correct,1
horsepower,hspwr,correct,6
individualistic,indivd,semantic,1
individualistic,individ,FALSE,2
individualistic,individ,semantic,23
individualistic,individual,semantic,2
individualistic,individualistic,correct,1
individualistic,indvdls,semantic,1
individualistic,indvdstc,correct,2
individualistic,indvduallistc,correct,1
individualistic,indvlstc,correct,1
industrial,ind,correct,1
industrial,ind,FALSE,9
industrial,indstl,correct,1
industrial,indstrl,correct,14
industrial,indtrial,correct,5
industrial,indust,correct,1
industrial,indust,incorrect,1
industrial,indust,semantic,1
industrial,ndstrl,correct,2
industrialized,ind'ized,correct,1
industrialized,ind.,semantic,1
industrialized,indlized,correct,2
industrialized,indlized,FALSE,1
industrialized,indstrialized,correct,2
industrialized,indstrl,incorrect,1
industrialized,indstrl,semantic,7
industrialized,indstrlized,correct,7
industrialized,indstrlized,typo,3
industrialized,indstrlzd,correct,2
industrialized,indtlzed,incorrect,2
industrialized,indust,semantic,4
industrialized,industr,semantic,1
industrialized,industri,semantic,5
industrialized,industrial,semantic,3
industrialized,industrializ,correct,1
industrialized,industrializ,semantic,1
industrialized,industry,semantic,1
inflationary,infl,FALSE,1
inflationary,infl,semantic,4
inflationary,inflat,semantic,2
inflationary,inflate,semantic,1
inflationary,inflati,semantic,1
inflationary,inflationary,correct,8
inflationary,inflatnary,correct,2
inflationary,infltnr,correct,3
inflationary,infltnr,incorrect,3
inflationary,infltny,incorrect,1
instructional,instnal,incorrect,1
instructional,instr,semantic,1
instructional,instrct,FALSE,2
instructional,instrctional,correct,2
instructional,instrctnl,correct,6
instructional,instrnl,FALSE,1
instructional,instruc,semantic,3
instructional,instruct,semantic,2
instructional,instructi,incorrect,1
instructional,instructi,semantic,6
instructional,instructional,correct,1
instructional,instruonal,typo,1
instructional,nstrucnal,correct,9
instructional,nstrucnal,FALSE,1
instructional,nstrucnal,incorrect,1
instructional,nstrucnal,typo,1
instrumentation,1strenrn,incorrect,1
instrumentation,instation,FALSE,1
instrumentation,instr,FALSE,1
instrumentation,instr,semantic,1
instrumentation,instrmntation,correct,18
instrumentation,instrmntation,incorrect,1
instrumentation,instrmntatn,correct,4
instrumentation,instru,semantic,1
instrumentation,instru.,FALSE,1
instrumentation,instrum,semantic,2
instrumentation,instrument,semantic,4
instrumentation,instrumental,semantic,4
instrumentation,instrumentation,correct,2
instrumentation,instrumntation,correct,1
instrumentation,intr'tation,incorrect,1
interdependent,intdent,incorrect,1
interdependent,intdpnt,FALSE,1
interdependent,interde,FALSE,1
interdependent,interde,semantic,1
interdependent,interdep,correct,1
interdependent,interdep,FALSE,1
interdependent,interdpndnt,semantic,1
interdependent,intrdpn,correct,5
interdependent,intrdpn,FALSE,1
interdependent,intrdpn,incorrect,4
interdependent,intrdpn,semantic,3
interdependent,intrdpndnt,correct,2
interdependent,intrdpndnt,FALSE,1
interdependent,intrdpndnt,typo,1
interdependent,ntrdpdnt,incorrect,2
internationally,intern,FALSE,2
internationally,interna,FALSE,2
internationally,interna,incorrect,3
internationally,interna,semantic,3
internationally,internat.,semantic,1
internationally,internationally,correct,1
internationally,internly,correct,1
internationally,interntly,incorrect,1
internationally,intl,incorrect,1
internationally,intl,semantic,3
internationally,intly,correct,1
internationally,intnatnal,semantic,1
internationally,intnly,correct,4
internationally,intnly,FALSE,6
internationally,intrntn,FALSE,1
internationally,intrntn,incorrect,2
internationally,intrntn,semantic,4
internationally,tianlly,incorrect,1
interstellar,inst,FALSE,1
interstellar,instlr,correct,2
interstellar,interstel,correct,1
interstellar,intrstl,correct,6
interstellar,intrstl,FALSE,7
interstellar,intrstl,incorrect,4
interstellar,intrstl,typo,1
interstellar,intrstllar,correct,2
interstellar,intrstllr,correct,2
interstellar,intrstlr,correct,1
interstellar,intrstlr,incorrect,1
interstellar,intslr,correct,1
interstellar,intstel,correct,2
interstellar,intstlr,correct,1
investment,invest.,correct,1
investment,invment,correct,1
investment,invsmnt,correct,1
investment,invstment,correct,10
investment,invstmn,correct,14
investment,invstmn,incorrect,1
investment,invstmnt,correct,10
investment,invstmnt,plural,1
investment,invstmt,correct,2
investment,invstmt,incorrect,1
jurisprudence,jrsprdence,correct,2
jurisprudence,jrsprdn,correct,3
jurisprudence,jrsprdn,incorrect,1
jurisprudence,jrsprdn,typo,1
jurisprudence,juri,FALSE,1
jurisprudence,jurisdence,correct,3
jurisprudence,jurispr,correct,7
jurisprudence,jurispr,incorrect,2
jurisprudence,jurispr,typo,2
jurisprudence,jurisprud,correct,1
jurisprudence,jurisurence,correct,1
jurisprudence,jurisurence,incorrect,1
jurisprudence,jurprud,correct,2
jurisprudence,jury,incorrect,1
kindergarten,kg,FALSE,2
kindergarten,kinder,correct,4
kindergarten,kinderg,correct,14
kindergarten,kinderg,synonym,8
kindergarten,kindrgarden,correct,2
kindergarten,kndergrtn,correct,3
kindergarten,kndgtn,correct,1
kindergarten,kndrgrt,correct,2
kindergarten,kndrgrt,synonym,1
laboratory,lab,correct,34
laboratory,lab,FALSE,1
laboratory,lab,incorrect,1
laboratory,lab,semantic,4
laboratory,lab,typo,3
laboratory,laborat,correct,2
laboratory,labrtory,correct,1
locomotive,lcmtv,correct,2
locomotive,loco,correct,20
locomotive,loco,FALSE,3
locomotive,loco,incorrect,1
locomotive,loco,semantic,7
locomotive,loco,typo,1
locomotive,locomtv,correct,3
manipulation,manip,correct,7
manipulation,manip,plural,1
manipulation,manip,semantic,3
manipulation,manip,typo,1
manipulation,manipltn,correct,1
manipulation,manipul,correct,4
manipulation,manipul,semantic,8
manipulation,manpltn,correct,1
manipulation,manpltn,plural,1
manipulation,manplton,correct,1
manipulation,manption,correct,1
manipulation,manpultion,correct,5
manipulation,mnipltn,correct,1
manipulation,mnpltn,correct,3
manipulation,mnpltn.,correct,1
manipulation,mnpulation,correct,1
manufacture,manfc,semantic,1
manufacture,manfctr,correct,1
manufacture,manfctr,semantic,1
manufacture,manu,FALSE,4
manufacture,manu,incorrect,1
manufacture,manu,semantic,2
manufacture,manuf,semantic,1
manufacture,manuf.,correct,1
manufacture,manufac,correct,7
manufacture,manufac,semantic,8
manufacture,mfg,semantic,2
manufacture,mfr,semantic,1
manufacture,mftr,correct,1
manufacture,mftr,semantic,1
manufacture,mnfr,semantic,1
manufacturing,build,FALSE,6
manufacturing,build,incorrect,2
manufacturing,m'facturing,correct,1
manufacturing,manring.,correct,1
manufacturing,manu,incorrect,1
manufacturing,manufac,correct,1
manufacturing,manufac,semantic,1
manufacturing,manufac'ing,correct,1
manufacturing,mf,semantic,1
manufacturing,mfg,correct,2
manufacturing,mftg,correct,2
manufacturing,mftg,incorrect,1
manufacturing,mftg,semantic,1
manufacturing,mnfctring,correct,1
manufacturing,mnfctrn,correct,6
manufacturing,mnfctrn,semantic,3
measurements,measrmnts,correct,11
measurements,mmts,FALSE,3
measurements,msrmnts,correct,12
measurements,msrmnts,incorrect,2
measurements,msrmnts,typo,2
mechanical,mec,semantic,1
mechanical,mech,correct,19
mechanical,mech,FALSE,1
mechanical,mech,incorrect,1
mechanical,mech,semantic,12
mechanical,mech,typo,1
mechanical,mechanica,correct,1
mechanical,mechncl,correct,1
mechanically,mchniclly,incorrect,1
mechanically,mech,FALSE,1
mechanically,mech,semantic,23
mechanically,mech.,semantic,2
mechanically,mechally,correct,3
mechanically,mechani,semantic,5
mechanically,mechanica,semantic,1
mechanically,mechly.,typo,1
mechanically,mechncly,correct,1
mechanically,mechy,correct,1
mechanically,mechy,incorrect,1
mechanically,mechy,semantic,1
meteorological,met,FALSE,2
meteorological,met,incorrect,1
meteorological,meteological,correct,1
meteorological,meteorlgcl,typo,1
meteorological,meteoro,semantic,1
meteorological,meteorolog,correct,1
meteorological,mtrlgcl,correct,4
meteorological,mtrlgcl,FALSE,2
meteorological,mtrlgcl,incorrect,4
meteorological,mtrlgcl,typo,6
meteorological,weather,mislead,1
microorganisms,mcrorgnsms,plural,1
microorganisms,mcrrgns,correct,3
microorganisms,mcrrgns,incorrect,5
microorganisms,mcrrgns,plural,1
microorganisms,micorgan,incorrect,1
microorganisms,micrognsms,correct,1
microorganisms,microor,incorrect,1
microorganisms,microor,plural,2
microorganisms,microorg,plural,1
microorganisms,microorganisms,correct,1
microorganisms,microorganisms,typo,1
microorganisms,microorgs,correct,5
microorganisms,microorgs,semantic,1
multifaceted,mfaceted,correct,7
multifaceted,mfaceted,typo,2
multifaceted,mltfctd,correct,4
multifaceted,mltfctd,FALSE,6
multifaceted,mltfctd,incorrect,1
multifaceted,mulced,correct,1
multifaceted,mulceted,typo,1
multifaceted,multfactd,correct,3
multifaceted,multfactd,FALSE,1
multifaceted,multfactd,typo,1
multifaceted,multi,FALSE,1
multifaceted,multifa,correct,2
multifaceted,multifa,FALSE,4
multifaceted,multifcted,correct,2
observatory,observa,semantic,1
observatory,observtry,correct,2
observatory,obsrty,incorrect,1
observatory,obsrvatry,correct,1
observatory,obsrvtr,correct,6
observatory,obsrvtr,semantic,3
observatory,obsrvtry,correct,13
observatory,obsrvtry,incorrect,1
observatory,obstory,correct,5
observatory,obstory,incorrect,2
observatory,obstory,typo,1
observatory,obsty,FALSE,1
observatory,obsvtry,correct,1
observatory,obsvtry,typo,1
observatory,obsvty,correct,1
opposition,opp,correct,2
opposition,opp,FALSE,3
opposition,opp,semantic,4
opposition,opp'n,correct,1
opposition,opp'n,FALSE,3
opposition,opposit,correct,1
opposition,opposit,semantic,1
opposition,oppostn,correct,17
opposition,oppostn,incorrect,1
opposition,oppstion,correct,3
opposition,oppstn,correct,2
parliamentary,p'mentary,incorrect,1
parliamentary,palmnts,incorrect,1
parliamentary,parl,semantic,1
parliamentary,parl.,semantic,1
parliamentary,parliam,correct,1
parliamentary,parliam,semantic,4
parliamentary,parliamntry,correct,1
parliamentary,parliamntry,incorrect,1
parliamentary,parlmt,semantic,2
parliamentary,parltary,typo,2
parliamentary,prlamntry,correct,1
parliamentary,prlmntr,correct,5
parliamentary,prlmntr,incorrect,6
parliamentary,prlmntr,semantic,1
parliamentary,prlmntr,typo,1
pedestrians,pdstrians,correct,6
pedestrians,pdstrns,correct,5
pedestrians,pdstrns,incorrect,1
pedestrians,pdstrns,plural,1
pedestrians,ped,FALSE,1
pedestrians,peds,correct,2
pedestrians,peds,FALSE,12
pedestrians,peds,incorrect,1
pedestrians,walk,FALSE,2
pedestrians,walk,mislead,1
principals,prin,plural,1
principals,princip,plural,2
principals,princip,semantic,1
principals,princip,typo,1
principals,prins,FALSE,1
principals,prins,plural,1
principals,prncpls,correct,11
principals,prncpls,plural,1
principals,prncpls,semantic,5
principals,prncpls,typo,1
principals,prpls,FALSE,4
principals,prpls,incorrect,4
professors,prof,FALSE,3
professors,prof,plural,14
professors,prof,typo,1
professors,profess,FALSE,2
professors,profess,plural,3
professors,profs,correct,10
professors,profs,FALSE,1
professors,profs,plural,3
professors,profs,typo,3
satellites,sat,FALSE,4
satellites,sate,incorrect,1
satellites,sate,typo,1
satellites,satllts,correct,13
satellites,sats,correct,1
satellites,stls,FALSE,1
satellites,stlts,correct,1
satellites,stlts,FALSE,6
satellites,stlts,incorrect,2
satellites,stlts,typo,1
schoolchildren,sc ch,semantic,1
schoolchildren,schch,incorrect,4
schoolchildren,schch,semantic,1
schoolchildren,schchdrn,correct,2
schoolchildren,schchdrn,incorrect,1
schoolchildren,schchln.,incorrect,1
schoolchildren,schlchl,incorrect,2
schoolchildren,schlchl,semantic,2
schoolchildren,schlchl,typo,1
schoolchildren,schlchld,incorrect,1
schoolchildren,schlchld,typo,1
schoolchildren,schooch,incorrect,1
schoolchildren,schooch,semantic,2
schoolchildren,shlchilden,correct,3
schoolchildren,shlchilden,typo,1
socialization,socialaz.,semantic,1
socialization,sociali,correct,1
socialization,sociali,incorrect,2
socialization,sociali,semantic,13
socialization,socializ,correct,1
socialization,socializtn,typo,1
socialization,socialzation,correct,1
socialization,socialztion,correct,3
socialization,socialztn,correct,8
socialization,socilzatn,correct,3
socialization,soclization,correct,1
socialization,soclztn,correct,4
socialization,socztion,correct,1
stratosphere,stra,FALSE,1
stratosphere,strat,correct,1
stratosphere,strat,FALSE,1
stratosphere,strato,correct,4
stratosphere,strato,incorrect,1
stratosphere,strato,semantic,1
stratosphere,stratos,correct,18
stratosphere,stratos,incorrect,4
stratosphere,stratos,semantic,2
stratosphere,stratos,typo,1
stratosphere,strtsph,correct,1
telescopes,telescopes,correct,1
telescopes,telscopes,correct,10
telescopes,telscps,correct,9
telescopes,telscps,plural,3
telescopes,tlscp,incorrect,1
telescopes,tlscpes,correct,8
telescopes,tlscpes,plural,1
telescopes,tscopes,correct,3
telescopes,tscopes,typo,1
theological,thelgcl,correct,10
theological,thelgcl,incorrect,2
theological,thelgcl,typo,1
theological,thelgicl,correct,1
theological,thelgicl,incorrect,1
theological,thelgicl,semantic,2
theological,thelgicl,typo,1
theological,theolgcl,semantic,1
theological,theolgcl,typo,1
theological,theolog,semantic,4
theological,tlogical,FALSE,1
transmissions,tmissions,correct,1
transmissions,trans,FALSE,4
transmissions,transmi,plural,9
transmissions,transmi,semantic,2
transmissions,transmi,typo,2
transmissions,transmisses,correct,3
transmissions,transmisses,FALSE,1
transmissions,transmsn,plural,1
transmissions,transmsns,correct,1
transmissions,transons,FALSE,1
transmissions,trnmssons,plural,1
transmissions,trnsmss,correct,1
transmissions,trnsmss,plural,6
transmissions,tsmsns,correct,1
transportation,trans,correct,2
transportation,trans,FALSE,3
transportation,trans,semantic,1
transportation,transp,correct,10
transportation,transp,semantic,9
transportation,transpo,correct,10
transportation,transpo,incorrect,1
transportation,transpo,semantic,8
transportation,transpttn,correct,1
trustworthy,trstwrt,correct,9
trustworthy,trstwrt,incorrect,1
trustworthy,trstwrthy,correct,10
trustworthy,trstwrty,correct,2
trustworthy,trstwthy,correct,1
trustworthy,trustworthy,correct,1
trustworthy,trwthy,correct,2
trustworthy,tstwty,correct,2
trustworthy,tstwty,incorrect,3
trustworthy,tswy,incorrect,1
undergraduate,ndrgrad,correct,2
undergraduate,ndrgrad,semantic,2
undergraduate,ugrad.,correct,1
undergraduate,undergr,correct,2
undergraduate,undergr,semantic,1
undergraduate,undergrad,correct,8
