original,abbreviation,4000,8000,12000
accountable,aul,aul,aul,aul
accountable,aubl,aubl,aubl,aubl
accountable,auble,auble,auble,auble
accountable,acuble,acuble,acuble,acuble
accountable,accuble,acunble,acunble,acunble
accountable,accunble,accunble,accunble,accunble
accountable,accuntble,accuntble,accuntble,accuntble
accountant,aut,aut,aut,aut
accountant,acut,acut,acut,acut
accountant,acunt,acunt,acunt,acunt
accountant,acunnt,acunnt,acunnt,acunnt
accountant,accunnt,acuntnt,acuntnt,acuntnt
accountant,accuntnt,accuntnt,accuntnt,accuntnt
accounts,aus,aus,aus,aus
accounts,acus,acus,acus,acus
accounts,acuts,acuts,acuts,acuns
accounts,acunts,acunts,acunts,acunts
accredited,ard,ard,ard,ard
accredited,acrd,acrd,acrd,acrd
accredited,acrdd,acrdd,acrdd,acrdd
accredited,acrdtd,acrdtd,acrdtd,acrdtd
accredited,accrdtd,accrdtd,accrdtd,accrdtd
accredited,accrditd,accrditd,accrditd,accrditd
acculturation,acn,acn,acn,acn
acculturation,acln,acln,acln,acln
acculturation,acltn,acltn,acltn,acltn
acculturation,accltn,accltn,accltn,accltn
acculturation,accltrn,accltrn,accltrn,accltrn
acculturation,accultrn,accultrn,accultrn,accultrn
acculturation,accultron,accultron,accultrtn,accultrtn
acculturation,accultrton,accultrton,acculturtn,acculturtn
acculturation,acculturton,acculturton,acculturton,acculturton
accurate,ace,ace,ace,ace
accurate,acce,acce,acce,acce
accurate,accre,accre,accre,accre
accurate,accrte,accrte,accrte,accrte
accusatory,acy,acy,acy,acy
accusatory,acay,acry,acay,acay
accusatory,acary,acary,acary,acsay
accusatory,accary,acsary,acsary,accsay
accusatory,accsary,accsary,accsary,accsary
accusatory,accusary,accsaory,accsaory,accsaory
accusers,acs,acs,acs,acs
accusers,accs,acss,acss,acss
accusers,accss,accss,accss,accss
accusers,accuss,accuss,accuss,accuss
accusingly,aly,aly,aly,aly
accusingly,acly,acly,acly,acly
accusingly,acgly,acgly,acgly,acgly
accusingly,accgly,acsgly,acsgly,acsgly
accusingly,accsgly,accsgly,accsgly,accsgly
accusingly,accusgly,accsngly,accusgly,accusgly
achieved,avd,avd,avd,avd
achieved,ahvd,ahvd,ahvd,ahvd
achieved,achvd,achvd,achvd,achvd
achieved,achevd,achevd,achevd,achevd
acknowledgement,akn,akn,akn,akn
acknowledgement,akno,akno,akno,akno
acknowledgement,aknol,aknol,aknol,aknol
acknowledgement,aknolg,aknolg,aknolg,aknolg
acknowledgement,aknowlg,aknowlg,aknowlg,aknowlg
acknowledgement,aknowlgt,aknowlgt,aknowlgt,aknowlgt
acknowledgement,aknowlget,aknowlget,aknowlget,aknowlget
acknowledgement,aknowlgemt,aknowlgemt,aknowlgemt,aknowlgemt
acknowledgement,aknowldgemt,aknowldgemt,aknowldgemt,aknowldgemt
acknowledgement,acknowldgemt,aknowldgemnt,acknowldgemt,acknowldgemt
acknowledgement,acknowldgemnt,acknowldgemnt,acknowldgemnt,acknowldgemnt
acknowledgements,akn,akn,akn,akn
acknowledgements,akno,akno,akno,akno
acknowledgements,aknol,aknol,aknol,aknol
acknowledgements,aknolg,aknolg,aknolg,aknolg
acknowledgements,aknolgt,aknolgt,aknolgt,aknolgt
acknowledgements,aknowlgt,aknowlgt,aknowlgt,aknowlgt
acknowledgements,aknowlgts,aknowlgts,aknowlgts,aknowlgts
acknowledgements,aknowlgets,aknowlgets,aknowlgets,aknowlgets
acknowledgements,aknowlgemts,aknowlgemts,aknowlgemts,aknowlgemts
acknowledgements,aknowldgemts,aknowldgemts,aknowldgemts,aknowldgemts
acknowledgements,acknowldgemts,aknowldgemnts,acknowldgemts,acknowldgemts
acknowledgements,acknowldgemnts,acknowldgemnts,acknowldgemnts,acknowldgemnts
acquiesce,aqu,aqu,aqu,aqu
acquiesce,aqui,aqui,aqui,aqui
acquiesce,aquie,aquie,aquie,aquie
acquiesce,aquice,aquice,aquice,aquice
acquiesce,aquisce,aquisce,aquisce,aquisce
acquired,aqu,aqu,aqu,aqu
acquired,aqui,aqui,aqui,aqui
acquired,aquir,aquir,aquir,aquir
acquired,aquird,aquird,aquird,aquird
acquiring,aqu,aqu,aqu,aqu
acquiring,aqui,aqui,aqui,aqui
acquiring,aquir,aquir,aquir,aquir
acquiring,aquirg,aquirg,aquirg,aquirg
acquiring,aquirng,aquirng,aquirng,acquirg
acrobatic,aba,aba,aba,aba
acrobatic,abac,abac,abac,abac
acrobatic,arbac,arbac,arbac,arbac
acrobatic,acrbac,acrbac,acrbac,acrbac
acrobatic,acrbatc,acrbaic,acrbatc,acrbatc
acronyms,aym,aym,aym,aym
acronyms,ayms,ayms,ayms,ayms
acronyms,aryms,aryms,aryms,aryms
acronyms,acryms,acryms,acryms,acryms
activates,avs,avs,avs,avs
activates,acvs,acvs,acvs,acvs
activates,acvas,acvas,acvas,acvas
activates,actvas,acvaes,actvas,actvas
activates,actvaes,actvaes,actvats,actvats
actresses,ass,ass,ass,ass
actresses,asss,asss,asss,asss
actresses,asses,asses,asses,acsss
actresses,acsses,acsses,acsses,acsses
actresses,acrsses,acrsses,acrsses,acrsses
actuality,aty,aty,aty,aty
actuality,acty,alty,alty,alty
actuality,aclty,aclty,aclty,aclty
actuality,actlty,actlty,actlty,actlty
actuality,actalty,actalty,actalty,actalty
acupuncture,ape,ape,ape,ape
acupuncture,apre,apre,apre,apue
acupuncture,apure,apure,apure,apure
acupuncture,acpure,apunre,apunre,apunre
acupuncture,acpunre,apuncre,apuncre,apuncre
acupuncture,acpuncre,acpuncre,acpuncre,acpuncre
acupuncture,acpunctre,acpunctre,acpunctre,acpunctre
addicted,add,add,add,add
addicted,addd,addd,addd,addd
addicted,addid,addid,addid,addid
addicted,additd,additd,additd,additd
addiction,adn,adn,adn,adn
addiction,addn,addn,addn,addn
addiction,addin,addin,addin,addin
addiction,additn,additn,additn,additn
addiction,addictn,addictn,addictn,addictn
adequacy,aqu,aqu,aqu,aqu
adequacy,aquy,aquy,aquy,aquy
adequacy,adquy,adquy,adquy,adquy
adequacy,adqucy,adqucy,adqucy,adqucy
adjective,aje,aje,aje,aje
adjective,ajec,ajec,ajec,ajec
adjective,ajece,ajece,ajece,ajece
adjective,ajecve,ajecve,ajecve,ajecve
adjective,adjecve,adjecve,adjecve,adjecve
adjourned,ajo,ajo,ajo,ajo
adjourned,ajou,ajou,ajou,ajou
adjourned,ajoue,ajoue,ajoue,ajoue
adjourned,ajoued,ajoued,ajoued,ajoued
adjourned,ajouned,ajouned,ajouned,ajouned
adjudicated,ajd,ajd,ajd,ajd
adjudicated,ajdd,ajdd,ajdd,ajdd
adjudicated,adjdd,adjdd,adjdd,adjdd
adjudicated,adjudd,adjudd,adjudd,adjudd
adjudicated,adjudid,adjudid,adjudid,adjudid
adjudicated,adjudicd,adjudicd,adjudicd,adjudicd
adjudicated,adjudiced,adjudiced,adjudictd,adjudictd
adjustable,ajl,ajl,ajl,ajl
adjustable,ajbl,ajbl,ajbl,ajbl
adjustable,ajble,ajble,ajble,ajble
adjustable,adjble,adjble,adjble,adjble
adjustable,adjuble,adjuble,adjuble,adjuble
adjustable,adjutble,adjutble,adjusble,adjusble
adjustment,ajt,ajt,ajt,ajt
adjustment,ajmt,ajmt,ajmt,ajmt
adjustment,adjmt,adjmt,adjmt,adjmt
adjustment,adjumt,adjumt,adjumt,adjumt
adjustment,adjumnt,adjumnt,adjusmt,adjusmt
adjustment,adjutmnt,adjutmnt,adjustmt,adjustmt
administer,amr,amr,amr,amr
administer,amsr,amsr,amsr,amsr
administer,admsr,admsr,admsr,admsr
administer,admstr,admstr,admstr,admstr
administer,admistr,admster,admistr,admistr
administer,admister,admister,adminstr,adminstr
administered,amd,amd,amd,amd
administered,admd,amsd,amsd,amsd
administered,admsd,admsd,admsd,admsd
administered,admstd,admsed,admstd,admstd
administered,admsted,admsted,admsted,admsted
administered,admisted,admisted,admisted,admisted
administered,adminsted,adminsted,adminsted,adminsted
administered,administed,administed,administed,administed
administrative,ame,ame,ame,ame
administrative,amve,amve,amve,amve
administrative,admve,admve,amsve,amsve
administrative,admsve,admsve,admsve,admsve
administrative,admstve,admstve,admstve,admstve
administrative,admstrve,admstrve,admstrve,admstrve
administrative,admistrve,admistrve,admistrve,admistrve
administrative,adminstrve,adminstrve,adminstrve,adminstrve
administrative,adminstrtve,adminstrtve,adminstrtve,adminstrtve
administrative,administrtve,administrtve,administrtve,administrtve
administrator,amr,amr,amr,amr
administrator,admr,amsr,amsr,amsr
administrator,admsr,admsr,admsr,admsr
administrator,admsor,admsor,admsor,admstr
administrator,admstor,admstor,admstor,admstor
administrator,admstror,admstror,admstror,admstror
administrator,admistror,admistror,admistror,admistror
administrator,adminstror,adminstror,adminstror,adminstror
administrator,adminstrtor,adminstrtor,adminstrtor,adminstrtor
admirers,amr,amr,amr,amr
admirers,amrs,amrs,amrs,amrs
admirers,admrs,admrs,admrs,admrs
admirers,admirs,admirs,admirs,admirs
admission,amn,amn,amn,amn
admission,amsn,amsn,amsn,amsn
admission,admsn,admsn,admsn,admsn
admission,admssn,admssn,admssn,admssn
admission,admissn,admissn,admissn,admissn
admonitions,ams,ams,ams,ams
admonitions,adms,adms,adms,adms
admonitions,admns,admns,admts,admts
admonitions,admtns,admtns,admtns,admtns
admonitions,admotns,admotns,admotns,admotns
admonitions,admontns,admontns,admontns,admontns
admonitions,admonitns,admonitns,admonitns,admonitns
adoptive,aot,aot,aot,aot
adoptive,aopt,aopt,aopt,aopt
adoptive,aopte,aopte,aopte,aopte
adoptive,aoptve,aoptve,aoptve,aoptve
adorable,aol,aol,aol,aol
adorable,aobl,aobl,aobl,aobl
adorable,aoble,aoble,aoble,aoble
adorable,adoble,adoble,adoble,adoble
adorning,aog,aog,aog,aog
adorning,adog,aong,aong,aong
adorning,adong,adong,adong,adong
adorning,adonng,adonng,adonng,adonng
adulation,adn,adn,adn,adn
adulation,adln,adln,adln,adln
adulation,adlan,adlan,adlan,adlan
adulation,adlaon,adlaon,adlatn,adlatn
adulation,adlaton,adlaton,adlaton,adulatn
advances,avs,avs,avs,avs
advances,advs,advs,advs,advs
advances,advcs,advcs,advcs,advcs
advances,advces,advces,advces,advces
advantages,ags,ags,ags,ags
advantages,ages,ages,ages,ages
advantages,avges,avges,avges,avges
advantages,advges,advges,advges,advges
advantages,advtges,advtges,advtges,advtges
advantages,advatges,advatges,advatges,advatges
adventure,ave,ave,ave,ave
adventure,adve,avre,adve,adve
adventure,advre,advre,advre,advre
adventure,advtre,advtre,advtre,advtre
adventure,advture,advture,advture,advture
adventures,avs,avs,avs,avs
adventures,advs,advs,advs,advs
adventures,adves,adves,advts,advts
adventures,advtes,advtes,advtrs,advtrs
adventures,advtres,advtres,advtres,advtres
adventures,advtures,advtures,advtures,advtures
adversely,avy,avy,avy,avy
adversely,avly,avly,avly,avly
adversely,advly,advly,advly,advly
adversely,advsly,advsly,advsly,advsly
adversely,advsely,advsely,advsely,advsely
advertising,avg,avg,avg,avg
advertising,avtg,avsg,avtg,avsg
advertising,avtsg,avtsg,avtsg,avtsg
advertising,advtsg,advtsg,advtsg,advtsg
advertising,advtsng,advtsng,advtsng,advtsng
advertising,advetsng,advtsing,advtsing,advetsng
advertising,advetsing,advetsing,advetsing,advetsing
advisers,avs,avs,avs,avs
advisers,avss,avss,avss,avss
advisers,advss,aviss,aviss,aviss
advisers,adviss,adviss,adviss,adviss
advisors,aos,aos,aos,aos
advisors,avos,avos,avos,avos
advisors,avsos,avsos,avsos,avsos
advisors,advsos,avisos,avisos,avisos
advisory,aoy,aoy,aoy,aoy
advisory,avoy,avoy,avoy,avoy
advisory,avsoy,avsoy,avsoy,avsoy
advisory,advsoy,avisoy,avisoy,avisoy
aerodynamics,aed,aed,aed,aed
aerodynamics,aedy,aedy,aedy,aedy
aerodynamics,aedyn,aedyn,aedyn,aedyn
aerodynamics,aedyns,aedyns,aedyns,aedyns
aerodynamics,aedynms,aedynms,aedynms,aedynms
aerodynamics,aedynmcs,aedynmcs,aedynmcs,aedynmcs
aerodynamics,aedynmics,aedynmics,aedynmics,aedynmics
aerodynamics,aedynamics,aedynamics,aedynamics,aedynamics
affectionately,aff,aff,aff,aff
affectionately,affc,affc,affc,affc
affectionately,affcy,affcy,affcy,affcy
affectionately,affcly,affcly,affcly,affcly
affectionately,affecly,affecly,affecly,affecly
affectionately,affectly,affectly,affectly,affectly
affectionately,affectnly,affectaly,affectaly,affectaly
affectionately,affectnaly,affectnaly,affectnaly,affectatly
affectionately,affectnatly,affectnatly,affectnatly,affectnatly
affectionately,affectnately,affectnately,affectnately,affectnately
affiliates,aff,aff,aff,aff
affiliates,affi,affi,affi,affi
affiliates,affis,affis,affis,affis
affiliates,affils,affils,affils,affils
affiliates,affiles,affiles,affilts,affilts
affiliates,affiltes,affiltes,affilats,affilats
affirmations,aff,aff,aff,aff
affirmations,affi,affi,affi,affi
affirmations,affim,affim,affim,affim
affirmations,affirm,affirm,affirm,affirm
affirmations,affirms,affirms,affirms,affirms
affirmations,affirmns,affirmns,affirmns,affirmns
affirmations,affirmans,affirmans,affirmans,affirmans
affirmations,affirmatns,affirmatns,affirmatns,affirmatns
affirmed,aff,aff,aff,aff
affirmed,affi,affi,affi,affi
affirmed,affim,affim,affim,affim
affirmed,affirm,affirm,affirm,affirm
affordable,aff,aff,aff,aff
affordable,affo,affo,affo,affo
affordable,affoa,affoa,affoa,affoa
affordable,affoal,affoal,affoal,affoal
affordable,affodal,affodal,affodal,affodal
affordable,affodabl,affodabl,affodabl,affodabl
aficionado,afi,afi,afi,afi
aficionado,afio,afio,afio,afio
aficionado,afido,afido,afido,afido
aficionado,aficdo,aficdo,aficdo,aficdo
aficionado,aficido,aficido,aficido,aficido
aficionado,aficindo,aficindo,aficindo,aficindo
agencies,ags,ags,ags,ags
agencies,ages,ages,ages,ages
agencies,agecs,agecs,agecs,agecs
agencies,ageces,ageces,ageces,ageces
aggravating,agg,agg,agg,agg
aggravating,aggv,aggv,aggv,aggv
aggravating,aggvg,aggvg,aggvg,aggvg
aggravating,aggrvg,aggvng,aggrvg,aggrvg
aggravating,aggrvng,aggrvng,aggrvng,aggrvng
aggravating,aggrvang,aggrvang,aggrvang,aggrvang
aggravating,aggrvatng,aggrvatng,aggrvatng,aggrvatng
aggregated,agg,agg,agg,agg
aggregated,aggg,aggg,aggg,aggg
aggregated,agggd,agggd,agggd,agggd
aggregated,aggrgd,aggrgd,aggrgd,aggrgd
aggregated,aggrgad,aggrgad,aggrgad,aggrgad
aggregated,aggrgaed,aggrgaed,aggrgatd,aggrgatd
aggregation,agg,agg,agg,agg
aggregation,aggg,aggg,aggg,aggg
aggregation,agggn,agggn,agggn,agggn
aggregation,aggrgn,aggrgn,aggrgn,aggrgn
aggregation,aggrgan,aggrgan,aggrgan,aggrgan
aggregation,aggrgaon,aggrgaon,aggrgatn,aggrgatn
aggregation,aggrgaton,aggrgaton,aggrgaton,aggregatn
aggressiveness,agg,agg,agg,agg
aggressiveness,agge,agge,agge,agge
aggressiveness,agges,agges,agges,agges
aggressiveness,aggess,aggess,aggess,aggess
aggressiveness,aggvess,aggvess,aggvess,aggvess
aggressiveness,aggsvess,aggsvess,aggsvess,aggsvess
aggressiveness,aggrsvess,aggrsvess,aggrsvess,aggrsvess
aggressiveness,aggrssvess,aggrssvess,aggrssvess,aggrssvess
aggressiveness,aggrssvness,aggrssvness,aggrssvness,aggrssvness
aggressiveness,aggrssveness,aggrssveness,aggrssveness,aggrssveness
aggrieved,agg,agg,agg,agg
aggrieved,aggv,aggv,aggv,aggv
aggrieved,aggvd,aggvd,aggvd,aggvd
aggrieved,aggrvd,aggrvd,aggrvd,aggrvd
aggrieved,aggrved,aggrved,aggrved,aggrved
agitating,agg,agg,agg,agg
agitating,agng,agng,agng,agtg
agitating,agtng,agtng,agtng,agtng
agitating,agitng,agitng,agitng,agitng
agitating,agittng,agittng,agittng,agittng
agonizing,ago,ago,ago,ago
agonizing,agoi,agoi,agoi,agoi
agonizing,agoig,agoig,agoig,agoig
agonizing,agozig,agozig,agozig,agozig
agonizing,agozing,agozing,agozing,agozing
agrarian,agn,agn,agn,agn
agrarian,agrn,agrn,agrn,agrn
agrarian,agrrn,agrrn,agrrn,agrrn
agrarian,agrran,agrran,agrran,agrran
agreeable,age,age,age,age
agreeable,agel,agel,agel,agel
agreeable,agebl,agebl,agebl,agebl
agreeable,ageble,ageble,ageble,ageble
agreeable,agreble,agreble,agreble,agreble
agreeing,age,age,age,age
agreeing,agei,agei,agei,agei
agreeing,ageig,ageig,ageig,ageig
agreeing,agreig,agreig,agreig,agreig
aimlessly,ail,ail,ail,ail
aimlessly,aill,aill,aill,aill
aimlessly,ailly,ailly,ailly,ailly
aimlessly,aimlly,aimlly,aimlly,aimlly
aimlessly,aimlsly,aimlsly,aimlsly,aimlsly
airfields,aif,aif,aif,aif
airfields,aifi,aifi,aifi,aifi
airfields,airfi,airfi,airfi,airfi
airfields,airfis,airfis,airfis,airfis
airfields,airfids,airfids,airfids,airfids
airliner,aie,aie,aie,aie
airliner,aire,aire,aire,aire
airliner,airer,airer,airer,airer
airliner,airler,airler,airler,airler
airplane,aip,aip,aip,aip
airplane,aipe,aipe,aipe,aipe
airplane,airpe,airpe,airpe,airpe
airplane,airple,airple,airple,airple
airtight,aih,aih,aih,aih
airtight,aiht,aiht,aiht,aiht
airtight,airht,airht,airht,airht
airtight,airtht,airtht,airtht,airtht
alabaster,aba,aba,aba,aba
alabaster,abar,abar,abar,abar
alabaster,abasr,abasr,abasr,abasr
alabaster,albasr,albasr,albasr,albasr
alabaster,albastr,albastr,albastr,albastr
alarming,amg,amg,amg,amg
alarming,almg,almg,almg,almg
alarming,alrmg,alrmg,alrmg,alrmg
alarming,alrmng,alrmng,alrmng,alrmig
albanian,aba,aba,aba,aba
albanian,aban,aban,aban,aban
albanian,alban,alban,alban,alban
albanian,albann,albaan,albann,albann
albrecht,abr,abr,abr,abr
albrecht,abrt,abrt,abrt,abrt
albrecht,abrct,abrct,abrct,abrct
albrecht,abrcht,abrcht,abrcht,abrcht
alcatraz,acz,acz,acz,acz
alcatraz,alcz,alcz,alcz,alcz
alcatraz,alcrz,alcrz,alcrz,alcrz
alcatraz,alctrz,alctrz,alctrz,alctrz
alcoholic,ahc,ahc,ahc,ahc
alcoholic,achc,achc,achc,achc
alcoholic,achlc,achlc,achlc,achlc
alcoholic,alchlc,alchlc,alchlc,alchlc
alcoholic,alchlic,alchlic,alchlic,alcholc
alcoholics,ahs,ahs,ahs,ahs
alcoholics,achs,achs,achs,achs
alcoholics,achcs,achcs,achcs,achls
alcoholics,achlcs,achlcs,achlcs,achlcs
alcoholics,alchlcs,alchlcs,alchlcs,alchlcs
alcoholics,alcholcs,alcholcs,alcholcs,alcholcs
aldridge,age,age,age,age
aldridge,adge,adge,adge,adge
aldridge,addge,addge,addge,addge
