length,original,abbreviation,drop_vowel,truncation,truncation_keep_end,all_different?
4,abominable,abbl,bmnbl,abom,aboe,1
5,abominable,abble,bmnbl,abomi,abome,1
6,abominable,aboble,bmnbl,abomin,abomie,1
7,abominable,abomble,bmnbl,abomina,abomine,1
8,abominable,abomible,bmnbl,abominab,abominae,1
3,abramson,abr,brmsn,abr,abn,1
4,abramson,abro,brmsn,abra,abrn,1
5,abramson,abron,brmsn,abram,abran,1
6,abramson,abrmon,brmsn,abrams,abramn,1
3,absorbed,abe,bsrbd,abs,abd,1
4,absorbed,abbe,bsrbd,abso,absd,1
5,absorbed,absbe,bsrbd,absor,absod,1
6,absorbed,absobe,bsrbd,absorb,absord,1
3,abstained,aie,bstnd,abs,abd,1
4,abstained,abie,bstnd,abst,absd,1
5,abstained,absie,bstnd,absta,abstd,1
6,abstained,absied,bstnd,abstai,abstad,1
7,abstained,abstied,bstnd,abstain,abstaid,1
3,abstinence,abe,bstnnc,abs,abe,1
4,abstinence,abse,bstnnc,abst,abse,1
5,abstinence,absee,bstnnc,absti,abste,1
6,abstinence,absece,bstnnc,abstin,abstie,1
7,abstinence,abstece,bstnnc,abstine,abstine,1
8,abstinence,abstnece,bstnnc,abstinen,abstinee,1
3,abstracted,abs,bstrctd,abs,abd,1
4,abstracted,absd,bstrctd,abst,absd,1
5,abstracted,abstd,bstrctd,abstr,abstd,1
6,abstracted,abstcd,bstrctd,abstra,abstrd,1
7,abstracted,abstctd,bstrctd,abstrac,abstrad,1
8,abstracted,abstrctd,bstrctd,abstract,abstracd,1
3,abstraction,abs,bstrctn,abs,abn,1
4,abstraction,absn,bstrctn,abst,absn,1
5,abstraction,abstn,bstrctn,abstr,abstn,1
6,abstraction,abstcn,bstrctn,abstra,abstrn,1
7,abstraction,abstctn,bstrctn,abstrac,abstran,1
8,abstraction,abstrctn,bstrctn,abstract,abstracn,1
9,abstraction,abstrcton,bstrctn,abstracti,abstractn,1
3,abstractly,abl,bstrctly,abs,aby,1
4,abstractly,absl,bstrctly,abst,absy,1
5,abstractly,absly,bstrctly,abstr,absty,1
6,abstractly,abstly,bstrctly,abstra,abstry,1
7,abstractly,abstcly,bstrctly,abstrac,abstray,1
8,abstractly,abstctly,bstrctly,abstract,abstracy,1
3,absurdity,abs,bsrdty,abs,aby,1
4,absurdity,absd,bsrdty,absu,absy,1
5,absurdity,absdy,bsrdty,absur,absuy,1
6,absurdity,absdty,bsrdty,absurd,absury,1
7,absurdity,absdity,bsrdty,absurdi,absurdy,1
3,abundant,aba,bndnt,abu,abt,1
4,abundant,abat,bndnt,abun,abut,1
5,abundant,abdat,bndnt,abund,abunt,1
6,abundant,abndat,bndnt,abunda,abundt,1
3,accelerated,acd,cclrtd,acc,acd,1
4,accelerated,acld,cclrtd,acce,accd,1
5,accelerated,accld,cclrtd,accel,acced,1
6,accelerated,accltd,cclrtd,accele,acceld,1
7,accelerated,acceltd,cclrtd,acceler,acceled,1
8,accelerated,accelted,cclrtd,accelera,accelerd,1
9,accelerated,acceleted,cclrtd,accelerat,accelerad,1
3,accelerators,acs,cclrtrs,acc,acs,1
4,accelerators,acls,cclrtrs,acce,accs,1
5,accelerators,accls,cclrtrs,accel,acces,1
6,accelerators,acclrs,cclrtrs,accele,accels,1
7,accelerators,acclors,cclrtrs,acceler,acceles,1
8,accelerators,accltors,cclrtrs,accelera,accelers,1
9,accelerators,acceltors,cclrtrs,accelerat,acceleras,1
10,accelerators,acceletors,cclrtrs,accelerato,accelerats,1
3,accentuates,acs,ccntts,acc,acs,1
4,accentuates,accs,ccntts,acce,accs,1
5,accentuates,accts,ccntts,accen,acces,1
6,accentuates,acctas,ccntts,accent,accens,1
7,accentuates,acctuas,ccntts,accentu,accents,1
8,accentuates,acctuats,ccntts,accentua,accentus,1
9,accentuates,accetuats,ccntts,accentuat,accentuas,1
3,acceptability,ati,ccptblty,acc,acy,1
4,acceptability,atbi,ccptblty,acce,accy,1
5,acceptability,atbiy,ccptblty,accep,accey,1
6,acceptability,aptbiy,ccptblty,accept,accepy,1
7,acceptability,aptbily,ccptblty,accepta,accepty,1
8,acceptability,acptbily,ccptblty,acceptab,acceptay,1
9,acceptability,acptbilty,ccptblty,acceptabi,acceptaby,1
10,acceptability,accptbilty,ccptblty,acceptabil,acceptabiy,1
11,acceptability,acceptbilty,ccptblty,acceptabili,acceptabily,1
3,accepted,atd,ccptd,acc,acd,1
4,accepted,aptd,ccptd,acce,accd,1
5,accepted,acptd,ccptd,accep,acced,1
6,accepted,accptd,ccptd,accept,accepd,1
3,accidents,ads,ccdnts,acc,acs,1
4,accidents,acds,ccdnts,acci,accs,1
5,accidents,acdts,ccdnts,accid,accis,1
6,accidents,accdts,ccdnts,accide,accids,1
7,accidents,accidts,ccdnts,acciden,accides,1
3,accolades,acs,cclds,acc,acs,1
4,accolades,acds,cclds,acco,accs,1
5,accolades,aclds,cclds,accol,accos,1
6,accolades,acclds,cclds,accola,accols,1
7,accolades,acclads,cclds,accolad,accolas,1
3,accommodating,ada,ccmmdtng,acc,acg,1
4,accommodating,adag,ccmmdtng,acco,accg,1
5,accommodating,amdag,ccmmdtng,accom,accog,1
6,accommodating,acmdag,ccmmdtng,accomm,accomg,1
7,accommodating,acmmdag,ccmmdtng,accommo,accommg,1
8,accommodating,accmmdag,ccmmdtng,accommod,accommog,1
9,accommodating,accmmdang,ccmmdtng,accommoda,accommodg,1
10,accommodating,accmmodang,ccmmdtng,accommodat,accommodag,1
11,accommodating,accmmodatng,ccmmdtng,accommodati,accommodatg,1
3,accompanied,apd,ccmpnd,acc,acd,1
4,accompanied,acpd,ccmpnd,acco,accd,1
5,accompanied,acmpd,ccmpnd,accom,accod,1
6,accompanied,acmped,ccmpnd,accomp,accomd,1
7,accompanied,accmped,ccmpnd,accompa,accompd,1
8,accompanied,accmpned,ccmpnd,accompan,accompad,1
9,accompanied,accmpaned,ccmpnd,accompani,accompand,1
3,accompanying,ayi,ccmpnyng,acc,acg,1
4,accompanying,ayig,ccmpnyng,acco,accg,1
5,accompanying,apyig,ccmpnyng,accom,accog,1
6,accompanying,acpyig,ccmpnyng,accomp,accomg,1
7,accompanying,acmpyig,ccmpnyng,accompa,accompg,1
8,accompanying,accmpyig,ccmpnyng,accompan,accompag,1
9,accompanying,accmpying,ccmpnyng,accompany,accompang,1
10,accompanying,accmpnying,ccmpnyng,accompanyi,accompanyg,1
3,accomplices,als,ccmplcs,acc,acs,1
4,accomplices,apls,ccmplcs,acco,accs,1
5,accomplices,acpls,ccmplcs,accom,accos,1
6,accomplices,acmpls,ccmplcs,accomp,accoms,1
7,accomplices,accmpls,ccmplcs,accompl,accomps,1
8,accomplices,accmples,ccmplcs,accompli,accompls,1
9,accomplices,accmplces,ccmplcs,accomplic,accomplis,1
3,accomplishes,als,ccmplshs,acc,acs,1
4,accomplishes,apls,ccmplshs,acco,accs,1
5,accomplishes,aplhs,ccmplshs,accom,accos,1
6,accomplishes,aplshs,ccmplshs,accomp,accoms,1
7,accomplishes,acplshs,ccmplshs,accompl,accomps,1
8,accomplishes,acmplshs,ccmplshs,accompli,accompls,1
9,accomplishes,acmplshes,ccmplshs,accomplis,accomplis,1
10,accomplishes,accmplshes,ccmplshs,accomplish,accompliss,1
3,accomplishing,alg,ccmplshng,acc,acg,1
4,accomplishing,aplg,ccmplshng,acco,accg,1
5,accomplishing,aplhg,ccmplshng,accom,accog,1
6,accomplishing,aplshg,ccmplshng,accomp,accomg,1
7,accomplishing,acplshg,ccmplshng,accompl,accompg,1
8,accomplishing,acmplshg,ccmplshng,accompli,accomplg,1
9,accomplishing,accmplshg,ccmplshng,accomplis,accomplig,1
10,accomplishing,accmplshng,ccmplshng,accomplish,accomplisg,1
11,accomplishing,accmplshing,ccmplshng,accomplishi,accomplishg,1
3,accorded,add,ccrdd,acc,acd,1
4,accorded,acdd,ccrdd,acco,accd,1
5,accorded,accdd,ccrdd,accor,accod,1
6,accorded,accrdd,ccrdd,accord,accord,1
3,accountable,aul,ccntbl,acc,ace,1
4,accountable,aubl,ccntbl,acco,acce,1
5,accountable,auble,ccntbl,accou,accoe,1
6,accountable,acuble,ccntbl,accoun,accoue,1
7,accountable,acunble,ccntbl,account,accoune,1
8,accountable,accunble,ccntbl,accounta,accounte,1
9,accountable,accuntble,ccntbl,accountab,accountae,1
3,accountant,aut,ccntnt,acc,act,1
4,accountant,acut,ccntnt,acco,acct,1
5,accountant,acunt,ccntnt,accou,accot,1
6,accountant,acunnt,ccntnt,accoun,accout,1
7,accountant,acuntnt,ccntnt,account,account,1
8,accountant,accuntnt,ccntnt,accounta,accountt,1
3,accounts,aus,ccnts,acc,acs,1
4,accounts,acus,ccnts,acco,accs,1
5,accounts,acuns,ccnts,accou,accos,1
6,accounts,acunts,ccnts,accoun,accous,1
3,accredited,ard,ccrdtd,acc,acd,1
4,accredited,acrd,ccrdtd,accr,accd,1
5,accredited,acrdd,ccrdtd,accre,accrd,1
6,accredited,acrdtd,ccrdtd,accred,accred,1
7,accredited,accrdtd,ccrdtd,accredi,accredd,1
8,accredited,accrditd,ccrdtd,accredit,accredid,1
3,acculturation,acn,ccltrtn,acc,acn,1
4,acculturation,acln,ccltrtn,accu,accn,1
5,acculturation,acltn,ccltrtn,accul,accun,1
6,acculturation,accltn,ccltrtn,accult,acculn,1
7,acculturation,accltrn,ccltrtn,accultu,accultn,1
8,acculturation,accultrn,ccltrtn,accultur,accultun,1
9,acculturation,accultrtn,ccltrtn,accultura,acculturn,1
10,acculturation,acculturtn,ccltrtn,acculturat,acculturan,1
11,acculturation,acculturton,ccltrtn,acculturati,acculturatn,1
3,accurate,ace,ccrt,acc,ace,1
4,accurate,acce,ccrt,accu,acce,1
5,accurate,accre,ccrt,accur,accue,1
6,accurate,accrte,ccrt,accura,accure,1
3,accusatory,acy,ccstry,acc,acy,1
4,accusatory,acay,ccstry,accu,accy,1
5,accusatory,acsay,ccstry,accus,accuy,1
6,accusatory,accsay,ccstry,accusa,accusy,1
7,accusatory,accsary,ccstry,accusat,accusay,1
8,accusatory,accsaory,ccstry,accusato,accusaty,1
3,accusers,acs,ccsrs,acc,acs,1
4,accusers,acss,ccsrs,accu,accs,1
5,accusers,accss,ccsrs,accus,accus,1
6,accusers,accuss,ccsrs,accuse,accuss,1
3,accusingly,aly,ccsngly,acc,acy,1
4,accusingly,acly,ccsngly,accu,accy,1
5,accusingly,acgly,ccsngly,accus,accuy,1
6,accusingly,acsgly,ccsngly,accusi,accusy,1
7,accusingly,accsgly,ccsngly,accusin,accusiy,1
8,accusingly,accusgly,ccsngly,accusing,accusiny,1
3,achieved,avd,chvd,ach,acd,1
4,achieved,ahvd,chvd,achi,achd,1
5,achieved,achvd,chvd,achie,achid,1
6,achieved,achevd,chvd,achiev,achied,1
3,acknowledgement,akn,cknwldgmnt,ack,act,1
4,acknowledgement,akno,cknwldgmnt,ackn,ackt,1
5,acknowledgement,aknol,cknwldgmnt,ackno,acknt,1
6,acknowledgement,aknolg,cknwldgmnt,acknow,acknot,1
7,acknowledgement,aknowlg,cknwldgmnt,acknowl,acknowt,1
8,acknowledgement,aknowlgt,cknwldgmnt,acknowle,acknowlt,1
9,acknowledgement,aknowlget,cknwldgmnt,acknowled,acknowlet,1
10,acknowledgement,aknowlgemt,cknwldgmnt,acknowledg,acknowledt,1
11,acknowledgement,aknowldgemt,cknwldgmnt,acknowledge,acknowledgt,1
12,acknowledgement,acknowldgemt,cknwldgmnt,acknowledgem,acknowledget,1
13,acknowledgement,acknowldgemnt,cknwldgmnt,acknowledgeme,acknowledgemt,1
3,acknowledgements,akn,cknwldgmnts,ack,acs,1
4,acknowledgements,akno,cknwldgmnts,ackn,acks,1
5,acknowledgements,aknol,cknwldgmnts,ackno,ackns,1
6,acknowledgements,aknolg,cknwldgmnts,acknow,acknos,1
7,acknowledgements,aknolgt,cknwldgmnts,acknowl,acknows,1
8,acknowledgements,aknowlgt,cknwldgmnts,acknowle,acknowls,1
9,acknowledgements,aknowlgts,cknwldgmnts,acknowled,acknowles,1
10,acknowledgements,aknowlgets,cknwldgmnts,acknowledg,acknowleds,1
11,acknowledgements,aknowlgemts,cknwldgmnts,acknowledge,acknowledgs,1
12,acknowledgements,aknowldgemts,cknwldgmnts,acknowledgem,acknowledges,1
13,acknowledgements,acknowldgemts,cknwldgmnts,acknowledgeme,acknowledgems,1
14,acknowledgements,acknowldgemnts,cknwldgmnts,acknowledgemen,acknowledgemes,1
3,acquiesce,aqu,cqsc,acq,ace,1
4,acquiesce,aqui,cqsc,acqu,acqe,1
5,acquiesce,aquie,cqsc,acqui,acque,1
6,acquiesce,aquice,cqsc,acquie,acquie,1
7,acquiesce,aquisce,cqsc,acquies,acquiee,1
3,acquired,aqu,cqrd,acq,acd,1
4,acquired,aqui,cqrd,acqu,acqd,1
5,acquired,aquir,cqrd,acqui,acqud,1
6,acquired,aquird,cqrd,acquir,acquid,1
3,acquiring,aqu,cqrng,acq,acg,1
4,acquiring,aqui,cqrng,acqu,acqg,1
5,acquiring,aquir,cqrng,acqui,acqug,1
6,acquiring,aquirg,cqrng,acquir,acquig,1
7,acquiring,acquirg,cqrng,acquiri,acquirg,1
3,acrobatic,aba,crbtc,acr,acc,1
4,acrobatic,abac,crbtc,acro,acrc,1
5,acrobatic,arbac,crbtc,acrob,acroc,1
6,acrobatic,acrbac,crbtc,acroba,acrobc,1
7,acrobatic,acrbatc,crbtc,acrobat,acrobac,1
3,acronyms,aym,crnyms,acr,acs,1
4,acronyms,ayms,crnyms,acro,acrs,1
5,acronyms,aryms,crnyms,acron,acros,1
6,acronyms,acryms,crnyms,acrony,acrons,1
3,activates,avs,ctvts,act,acs,1
4,activates,acvs,ctvts,acti,acts,1
5,activates,acvas,ctvts,activ,actis,1
6,activates,actvas,ctvts,activa,activs,1
7,activates,actvats,ctvts,activat,activas,1
3,actresses,ass,ctrsss,act,acs,1
4,actresses,asss,ctrsss,actr,acts,1
5,actresses,acsss,ctrsss,actre,actrs,1
6,actresses,acsses,ctrsss,actres,actres,1
7,actresses,acrsses,ctrsss,actress,actress,1
3,actuality,aty,ctlty,act,acy,1
4,actuality,alty,ctlty,actu,acty,1
5,actuality,aclty,ctlty,actua,actuy,1
6,actuality,actlty,ctlty,actual,actuay,1
7,actuality,actalty,ctlty,actuali,actualy,1
3,acupuncture,ape,cpnctr,acu,ace,1
4,acupuncture,apue,cpnctr,acup,acue,1
5,acupuncture,apure,cpnctr,acupu,acupe,1
6,acupuncture,apunre,cpnctr,acupun,acupue,1
7,acupuncture,apuncre,cpnctr,acupunc,acupune,1
8,acupuncture,acpuncre,cpnctr,acupunct,acupunce,1
9,acupuncture,acpunctre,cpnctr,acupunctu,acupuncte,1
3,addicted,add,ddctd,add,add,1
4,addicted,addd,ddctd,addi,addd,1
5,addicted,addid,ddctd,addic,addid,1
6,addicted,additd,ddctd,addict,addicd,1
3,addiction,adn,ddctn,add,adn,1
4,addiction,addn,ddctn,addi,addn,1
5,addiction,addin,ddctn,addic,addin,1
6,addiction,additn,ddctn,addict,addicn,1
7,addiction,addictn,ddctn,addicti,addictn,1
3,adequacy,aqu,dqcy,ade,ady,1
4,adequacy,aquy,dqcy,adeq,adey,1
5,adequacy,adquy,dqcy,adequ,adeqy,1
6,adequacy,adqucy,dqcy,adequa,adequy,1
3,adjective,aje,djctv,adj,ade,1
4,adjective,ajec,djctv,adje,adje,1
5,adjective,ajece,djctv,adjec,adjee,1
6,adjective,ajecve,djctv,adject,adjece,1
7,adjective,adjecve,djctv,adjecti,adjecte,1
3,adjourned,ajo,djrnd,adj,add,1
4,adjourned,ajou,djrnd,adjo,adjd,1
5,adjourned,ajoue,djrnd,adjou,adjod,1
6,adjourned,ajoued,djrnd,adjour,adjoud,1
7,adjourned,ajouned,djrnd,adjourn,adjourd,1
3,adjudicated,ajd,djdctd,adj,add,1
4,adjudicated,ajdd,djdctd,adju,adjd,1
5,adjudicated,adjdd,djdctd,adjud,adjud,1
6,adjudicated,adjudd,djdctd,adjudi,adjudd,1
7,adjudicated,adjudid,djdctd,adjudic,adjudid,1
8,adjudicated,adjudicd,djdctd,adjudica,adjudicd,1
9,adjudicated,adjudictd,djdctd,adjudicat,adjudicad,1
3,adjustable,ajl,djstbl,adj,ade,1
4,adjustable,ajbl,djstbl,adju,adje,1
5,adjustable,ajble,djstbl,adjus,adjue,1
6,adjustable,adjble,djstbl,adjust,adjuse,1
7,adjustable,adjuble,djstbl,adjusta,adjuste,1
8,adjustable,adjusble,djstbl,adjustab,adjustae,1
3,adjustment,ajt,djstmnt,adj,adt,1
4,adjustment,ajmt,djstmnt,adju,adjt,1
5,adjustment,adjmt,djstmnt,adjus,adjut,1
6,adjustment,adjumt,djstmnt,adjust,adjust,1
7,adjustment,adjusmt,djstmnt,adjustm,adjustt,1
8,adjustment,adjustmt,djstmnt,adjustme,adjustmt,1
3,administer,amr,dmnstr,adm,adr,1
4,administer,amsr,dmnstr,admi,admr,1
5,administer,admsr,dmnstr,admin,admir,1
6,administer,admstr,dmnstr,admini,adminr,1
7,administer,admistr,dmnstr,adminis,adminir,1
8,administer,adminstr,dmnstr,administ,adminisr,1
3,administered,amd,dmnstrd,adm,add,1
4,administered,amsd,dmnstrd,admi,admd,1
5,administered,admsd,dmnstrd,admin,admid,1
6,administered,admstd,dmnstrd,admini,admind,1
7,administered,admsted,dmnstrd,adminis,adminid,1
8,administered,admisted,dmnstrd,administ,adminisd,1
9,administered,adminsted,dmnstrd,administe,administd,1
10,administered,administed,dmnstrd,administer,administed,1
3,administrative,ame,dmnstrtv,adm,ade,1
4,administrative,amve,dmnstrtv,admi,adme,1
5,administrative,amsve,dmnstrtv,admin,admie,1
6,administrative,admsve,dmnstrtv,admini,admine,1
7,administrative,admstve,dmnstrtv,adminis,adminie,1
8,administrative,admstrve,dmnstrtv,administ,adminise,1
9,administrative,admistrve,dmnstrtv,administr,administe,1
10,administrative,adminstrve,dmnstrtv,administra,administre,1
11,administrative,adminstrtve,dmnstrtv,administrat,administrae,1
12,administrative,administrtve,dmnstrtv,administrati,administrate,1
3,administrator,amr,dmnstrtr,adm,adr,1
4,administrator,amsr,dmnstrtr,admi,admr,1
5,administrator,admsr,dmnstrtr,admin,admir,1
6,administrator,admstr,dmnstrtr,admini,adminr,1
7,administrator,admstor,dmnstrtr,adminis,adminir,1
8,administrator,admstror,dmnstrtr,administ,adminisr,1
9,administrator,admistror,dmnstrtr,administr,administr,1
10,administrator,adminstror,dmnstrtr,administra,administrr,1
11,administrator,adminstrtor,dmnstrtr,administrat,administrar,1
3,admirers,amr,dmrrs,adm,ads,1
4,admirers,amrs,dmrrs,admi,adms,1
5,admirers,admrs,dmrrs,admir,admis,1
6,admirers,admirs,dmrrs,admire,admirs,1
3,admission,amn,dmssn,adm,adn,1
4,admission,amsn,dmssn,admi,admn,1
5,admission,admsn,dmssn,admis,admin,1
6,admission,admssn,dmssn,admiss,admisn,1
7,admission,admissn,dmssn,admissi,admissn,1
3,admonitions,ams,dmntns,adm,ads,1
4,admonitions,adms,dmntns,admo,adms,1
5,admonitions,admts,dmntns,admon,admos,1
6,admonitions,admtns,dmntns,admoni,admons,1
7,admonitions,admotns,dmntns,admonit,admonis,1
8,admonitions,admontns,dmntns,admoniti,admonits,1
9,admonitions,admonitns,dmntns,admonitio,admonitis,1
3,adoptive,aot,dptv,ado,ade,1
4,adoptive,aopt,dptv,adop,adoe,1
5,adoptive,aopte,dptv,adopt,adope,1
6,adoptive,aoptve,dptv,adopti,adopte,1
3,adorable,aol,drbl,ado,ade,1
4,adorable,aobl,drbl,ador,adoe,1
5,adorable,aoble,drbl,adora,adore,1
6,adorable,adoble,drbl,adorab,adorae,1
3,adorning,aog,drnng,ado,adg,1
4,adorning,aong,drnng,ador,adog,1
5,adorning,adong,drnng,adorn,adorg,1
6,adorning,adonng,drnng,adorni,adorng,1
3,adulation,adn,dltn,adu,adn,1
4,adulation,adln,dltn,adul,adun,1
5,adulation,adlan,dltn,adula,aduln,1
6,adulation,adlatn,dltn,adulat,adulan,1
7,adulation,adulatn,dltn,adulati,adulatn,1
3,advances,avs,dvncs,adv,ads,1
4,advances,advs,dvncs,adva,advs,1
5,advances,advcs,dvncs,advan,advas,1
6,advances,advces,dvncs,advanc,advans,1
3,advantages,ags,dvntgs,adv,ads,1
4,advantages,ages,dvntgs,adva,advs,1
5,advantages,avges,dvntgs,advan,advas,1
6,advantages,advges,dvntgs,advant,advans,1
7,advantages,advtges,dvntgs,advanta,advants,1
8,advantages,advatges,dvntgs,advantag,advantas,1
3,adventure,ave,dvntr,adv,ade,1
4,adventure,adve,dvntr,adve,adve,1
5,adventure,advre,dvntr,adven,advee,1
6,adventure,advtre,dvntr,advent,advene,1
7,adventure,advture,dvntr,adventu,advente,1
3,adventures,avs,dvntrs,adv,ads,1
4,adventures,advs,dvntrs,adve,advs,1
5,adventures,advts,dvntrs,adven,adves,1
6,adventures,advtrs,dvntrs,advent,advens,1
7,adventures,advtres,dvntrs,adventu,advents,1
8,adventures,advtures,dvntrs,adventur,adventus,1
3,adversely,avy,dvrsly,adv,ady,1
4,adversely,avly,dvrsly,adve,advy,1
5,adversely,advly,dvrsly,adver,advey,1
6,adversely,advsly,dvrsly,advers,advery,1
7,adversely,advsely,dvrsly,adverse,adversy,1
3,advertising,avg,dvrtsng,adv,adg,1
4,advertising,avsg,dvrtsng,adve,advg,1
5,advertising,avtsg,dvrtsng,adver,adveg,1
6,advertising,advtsg,dvrtsng,advert,adverg,1
7,advertising,advtsng,dvrtsng,adverti,advertg,1
8,advertising,advetsng,dvrtsng,advertis,advertig,1
9,advertising,advetsing,dvrtsng,advertisi,advertisg,1
3,advisers,avs,dvsrs,adv,ads,1
4,advisers,avss,dvsrs,advi,advs,1
5,advisers,aviss,dvsrs,advis,advis,1
6,advisers,adviss,dvsrs,advise,adviss,1
3,advisors,aos,dvsrs,adv,ads,1
4,advisors,avos,dvsrs,advi,advs,1
5,advisors,avsos,dvsrs,advis,advis,1
6,advisors,avisos,dvsrs,adviso,adviss,1
3,advisory,aoy,dvsry,adv,ady,1
4,advisory,avoy,dvsry,advi,advy,1
5,advisory,avsoy,dvsry,advis,adviy,1
6,advisory,avisoy,dvsry,adviso,advisy,1
3,aerodynamics,aed,rdynmcs,aer,aes,1
4,aerodynamics,aedy,rdynmcs,aero,aers,1
5,aerodynamics,aedyn,rdynmcs,aerod,aeros,1
6,aerodynamics,aedyns,rdynmcs,aerody,aerods,1
7,aerodynamics,aedynms,rdynmcs,aerodyn,aerodys,1
8,aerodynamics,aedynmcs,rdynmcs,aerodyna,aerodyns,1
9,aerodynamics,aedynmics,rdynmcs,aerodynam,aerodynas,1
10,aerodynamics,aedynamics,rdynmcs,aerodynami,aerodynams,1
3,affectionately,aff,ffctntly,aff,afy,1
4,affectionately,affc,ffctntly,affe,affy,1
5,affectionately,affcy,ffctntly,affec,affey,1
6,affectionately,affcly,ffctntly,affect,affecy,1
7,affectionately,affecly,ffctntly,affecti,affecty,1
8,affectionately,affectly,ffctntly,affectio,affectiy,1
9,affectionately,affectaly,ffctntly,affection,affectioy,1
10,affectionately,affectatly,ffctntly,affectiona,affectiony,1
11,affectionately,affectnatly,ffctntly,affectionat,affectionay,1
12,affectionately,affectnately,ffctntly,affectionate,affectionaty,1
3,affiliates,aff,fflts,aff,afs,1
4,affiliates,affi,fflts,affi,affs,1
5,affiliates,affis,fflts,affil,affis,1
6,affiliates,affils,fflts,affili,affils,1
7,affiliates,affilts,fflts,affilia,affilis,1
8,affiliates,affilats,fflts,affiliat,affilias,1
3,affirmations,aff,ffrmtns,aff,afs,1
4,affirmations,affi,ffrmtns,affi,affs,1
5,affirmations,affim,ffrmtns,affir,affis,1
6,affirmations,affirm,ffrmtns,affirm,affirs,1
7,affirmations,affirms,ffrmtns,affirma,affirms,1
8,affirmations,affirmns,ffrmtns,affirmat,affirmas,1
9,affirmations,affirmans,ffrmtns,affirmati,affirmats,1
10,affirmations,affirmatns,ffrmtns,affirmatio,affirmatis,1
3,affirmed,aff,ffrmd,aff,afd,1
4,affirmed,affi,ffrmd,affi,affd,1
5,affirmed,affim,ffrmd,affir,affid,1
6,affirmed,affirm,ffrmd,affirm,affird,1
3,affordable,aff,ffrdbl,aff,afe,1
4,affordable,affo,ffrdbl,affo,affe,1
5,affordable,affoa,ffrdbl,affor,affoe,1
6,affordable,affoal,ffrdbl,afford,affore,1
7,affordable,affodal,ffrdbl,afforda,afforde,1
8,affordable,affodabl,ffrdbl,affordab,affordae,1
3,aficionado,afi,fcnd,afi,afo,1
4,aficionado,afio,fcnd,afic,afio,1
5,aficionado,afido,fcnd,afici,afico,1
6,aficionado,aficdo,fcnd,aficio,aficio,1
7,aficionado,aficido,fcnd,aficion,aficioo,1
