original,abbreviation,1000,2000,3000,4000,abbreviation,,,,,,,,,
acronyms,aryms,aryms,aryms,aryms,aryms,aryms,,,,,,,,,
acronyms,acryms,acryms,acryms,acryms,acryms,acryms,,,,,,,,,
activates,avs,avs,avs,avs,avs,avs,,,,,,,,,
activates,acvs,acvs,acvs,acvs,acvs,acvs,,,,,,,,,
activates,acvas,actvs,actvs,acvas,acvas,acvas,,,,,,,,,
activates,actvas,actvas,actvas,actvas,actvas,actvas,,,,,,,,,
activates,actvats,actvats,actvats,actvats,actvats,actvaes,,,,,,,,,
actresses,ass,ass,ass,ass,ass,ass,,,,,,,,,
actresses,asss,asss,asss,asss,asss,asss,,,,,,,,,
actresses,acsss,acsss,acsss,acsss,acsss,asses,,,,,,,,,
actresses,acsses,actsss,actsss,actsss,acrsss,acsses,,,,,,,,,
actresses,actsses,actrsss,actrsss,actrsss,actrsss,acrsses,,,,,,,,,
actuality,aty,acy,aty,aty,aty,aty,,,,,,,,,
actuality,acty,acty,acty,acty,alty,alty,,,,,,,,,
actuality,aclty,aclty,aclty,aclty,aclty,aclty,,,,,,,,,
actuality,actlty,actlty,actlty,actlty,actlty,actlty,,,,,,,,,
actuality,actalty,actalty,actalty,actalty,actalty,actalty,,,,,,,,,
acupuncture,ape,apu,apu,apu,ape,ape,,,,,,,,,
acupuncture,apre,apun,apun,apun,apue,apre,,,,,,,,,
acupuncture,acpre,apunc,apunc,apunc,apune,apure,,,,,,,,,
acupuncture,acpure,acpunc,acpunc,acpunc,apunce,apunre,,,,,,,,,
acupuncture,acpunre,acpuncr,acpuncr,acpuncr,acpunce,apuncre,,,,,,,,,
acupuncture,acpuncre,acpunctr,acpunctr,acpunctr,acpuncte,acpuncre,,,,,,,,,
acupuncture,acpunctre,acupunctr,acupunctr,acupunctr,acpunctre,acpunctre,,,,,,,,,
addicted,add,add,add,add,add,add,,,,,,,,,
addicted,addd,addd,addd,addd,addd,addd,,,,,,,,,
addicted,addid,addid,addid,addid,addid,addtd,,,,,,,,,
addicted,additd,additd,additd,additd,additd,additd,,,,,,,,,
addiction,adn,add,add,add,adn,adn,,,,,,,,,
addiction,addn,addi,addi,addi,addn,addn,,,,,,,,,
addiction,addin,addit,addic,addit,addin,addin,,,,,,,,,
addiction,additn,addict,addict,addict,additn,additn,,,,,,,,,
addiction,addictn,addictn,addictn,addictn,addictn,addictn,,,,,,,,,
adequacy,aqu,aqu,aqu,aqu,aqu,aqu,,,,,,,,,
adequacy,aquy,aquy,aquy,aquy,aquy,aquy,,,,,,,,,
adequacy,adquy,adquy,adquy,adquy,adquy,adquy,,,,,,,,,
adequacy,adqucy,adqucy,adqucy,adqucy,adqucy,adqucy,,,,,,,,,
adjective,aje,aje,aje,aje,aje,aje,,,,,,,,,
adjective,ajec,ajec,ajec,ajec,ajec,ajec,,,,,,,,,
adjective,ajece,adjec,ajecv,ajecv,ajece,ajece,,,,,,,,,
adjective,ajecve,adjecv,adjecv,adjecv,ajecve,ajecve,,,,,,,,,
adjective,adjecve,adjectv,adjectv,adjectv,adjecve,adjecve,,,,,,,,,
adjourned,ajo,ajo,ajo,ajo,ajo,ajo,,,,,,,,,
adjourned,ajou,ajou,ajou,ajou,ajou,ajou,,,,,,,,,
adjourned,ajoue,ajoue,ajoue,ajoue,ajoue,ajoue,,,,,,,,,
adjourned,ajoued,ajoune,ajoune,ajoune,ajoued,ajoued,,,,,,,,,
